note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
10,,[20],"[[153, 246, 237, 271]]",11,[20],"[[152, 397, 436, 422]]",[UUID('c5f4b807-bca5-3e16-96a5-3bf5b311c31b')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7fadd0f9c550>],['10']
11,,[20],"[[152, 397, 436, 422]]",12,[20],"[[151, 688, 287, 710]]",[UUID('c5f4b807-bca5-3e16-96a5-3bf5b311c31b')],"[[4, 5, 6, 7, 8, 9, 10, 11, 12]]",[<UAT_app.database.db_models.TableLogs object at 0x7fadd0f9c550>],['11']
12,,[20],"[[151, 688, 287, 710]]",13,[21],"[[145, 243, 455, 271]]",[UUID('c5f4b807-bca5-3e16-96a5-3bf5b311c31b')],"[[12, 13, 14, 15, 16, 17, 18]]",[<UAT_app.database.db_models.TableLogs object at 0x7fadd0f9c550>],['12']
13,,[21],"[[145, 243, 455, 271]]",14,[21],"[[144, 851, 325, 876]]",[UUID('a9fe55dc-6004-32f0-8308-2d26b9410999')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]]",[<UAT_app.database.db_models.TableLogs object at 0x7fadd653a400>],['13']
14,,[21],"[[144, 851, 325, 876]]",15,[22],"[[145, 254, 374, 276]]",[UUID('3be273b2-f3f6-3627-910f-320751a28113')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]]",[<UAT_app.database.db_models.TableLogs object at 0x7fad969dbee0>],['14']
15,,[22],"[[145, 254, 374, 276]]",16,[22],"[[144, 705, 293, 726]]",[UUID('96748a37-b952-3828-908b-7cb1b6604749')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",[<UAT_app.database.db_models.TableLogs object at 0x7fadd1bc91c0>],['15']
16,,[22],"[[144, 705, 293, 726]]",17,[22],"[[143, 908, 407, 931]]",[UUID('e70db529-1e17-30a3-8527-1add5afcec2c')],"[[0, 1, 2]]",[<UAT_app.database.db_models.TableLogs object at 0x7fadd36cc760>],['16']
17,,[22],"[[143, 908, 407, 931]]",18,[22],"[[143, 1188, 419, 1212]]",[UUID('e9a90ce0-8767-31fd-87e7-a824edb04720')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7fadd66b8e80>],['17']
18,,[22],"[[143, 1188, 419, 1212]]",19,[23],"[[148, 253, 284, 279]]",[UUID('198afea6-3389-356d-bffd-61e94820cbb7')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7fadd6fabca0>],"['18', '18']"
19,,[23],"[[148, 253, 284, 279]]",20,[23],"[[145, 958, 310, 982]]",[UUID('e22e7d05-e842-35a2-b0b7-741256ed5e59')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",[<UAT_app.database.db_models.TableLogs object at 0x7fae91548dc0>],['19']
20,,[23],"[[145, 958, 310, 982]]",21,[24],"[[148, 254, 250, 276]]",[UUID('877fdff4-0c84-3113-90e3-a79de4b8187b')],"[[0, 1, 2]]",[<UAT_app.database.db_models.TableLogs object at 0x7fadd6f8a4c0>],['20']
