note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
5,a,[24],"[[176, 954, 481, 974]]",5b,[25],"[[175, 295, 561, 315]]","[UUID('f70eb2a4-1fc7-366f-87df-d5429fbecada'), UUID('30fbe02e-e50c-3c11-9840-41827f1f739d')]","[[22, 23, 24, 25, 26, 27], [0, 1, 2]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef744082d60>, <UAT_app.database.db_models.TableLogs object at 0x7ef74331e2b0>]","['5a.', '5a.']"
6.,,[25],"[[180, 908, 503, 928]]",,[25],"[[160, 114, 583, 133]]",[],[],[],['6.']
7.,,[26],"[[179, 303, 352, 323]]",,[26],"[[160, 114, 583, 133]]",[],[],[],['7.']
8.,,[26],"[[179, 388, 337, 408]]",,[26],"[[160, 114, 583, 133]]",[],[],[],['8.']
9.,,[26],"[[180, 570, 343, 590]]",,[26],"[[160, 114, 583, 133]]",[],[],[],['9.']
10.,,[26],"[[176, 686, 444, 705]]",,[26],"[[160, 114, 583, 133]]",[],[],[],['10.']
12.,,[27],"[[176, 614, 521, 637]]",,[27],"[[160, 114, 583, 133]]",[],[],[],['12.']
13.,,[28],"[[176, 303, 337, 323]]",,[28],"[[160, 114, 583, 133]]",[],[],[],['13.']
14.,,[28],"[[176, 730, 475, 750]]",,[28],"[[160, 114, 583, 133]]",[],[],[],['14.']
15.,,[29],"[[176, 303, 328, 323]]",,[29],"[[160, 114, 583, 133]]",[],[],[],"['15.', '15.']"
16.,,[29],"[[176, 611, 377, 631]]",,[29],"[[160, 114, 583, 133]]",[],[],[],"['16.', '16.']"
17.,,[30],"[[176, 674, 381, 693]]",,[30],"[[160, 114, 583, 133]]",[],[],[],['17.']
18.,,[30],"[[176, 790, 558, 809]]",,[30],"[[160, 114, 583, 133]]",[],[],[],['18.']
19.,,[30],"[[176, 929, 835, 954]]",,[30],"[[160, 114, 583, 133]]",[],[],[],['19.']
