note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
3,,[15],"[[142, 809, 461, 835]]",4,[15],"[[142, 1119, 297, 1143]]",[UUID('f314ae4b-6fed-34b1-8891-82adf7a6d2e6')],"[[0, 1, 2, 3, 4]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f37f588fdc0>],"['3', '3']"
7,(a),"[17, 16]","[[141, 303, 522, 329], [141, 1107, 419, 1133]]",(b),[17],"[[141, 592, 327, 618]]",[UUID('cf15e01b-d70a-3383-a05c-9b579f7f3acb')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f37f5913c10>],['7(a)']
7,(b),"[19, 18, 17]","[[141, 304, 429, 329], [141, 304, 429, 329], [141, 592, 327, 618]]",(c),[20],"[[141, 304, 398, 329]]",[],[],[],['7(b)']
7,(c),[20],"[[141, 304, 398, 329]]",(d),[20],"[[141, 618, 279, 645]]",[UUID('21fb8a55-5a81-32a8-96e5-63b118065093')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f37f54dee50>],['7(c)']
7,(d),"[21, 20]","[[141, 303, 383, 329], [141, 618, 279, 645]]",(e),[22],"[[1378, 1061, 1437, 1080]]",[UUID('a1a4158e-85ab-3661-ad8b-a14510ca6536')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f37f5913ee0>],"['7(d)', '7(d)']"
7,(d),[20],"[[141, 618, 279, 645]]",(e),[21],"[[1018, 1420, 1084, 1443]]",[UUID('fce4377d-c6ba-3877-9c78-a3a9ffb0a5f6')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f37f54d3310>],[]
4,,[15],"[[142, 1119, 297, 1143]]",5,[16],"[[143, 266, 394, 289]]",[UUID('24181b5b-b5ee-3737-9690-9d06a54af2b2')],"[[0, 1, 2, 3, 4]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f37f5755b80>],['4']
5,,[16],"[[143, 266, 394, 289]]",6,[17],"[[1019, 1420, 1084, 1443]]","[UUID('40a1551b-1d14-3016-842d-2814465b77f0'), UUID('acf2d45b-e5b4-3c20-b50b-013ea29c24ce'), UUID('cf15e01b-d70a-3383-a05c-9b579f7f3acb'), UUID('729e5e19-b1eb-3bd2-b368-544c8de7a131'), UUID('404c5153-4ca3-3f81-b342-982eccfc8e17'), UUID('11bcb21e-e100-343e-85b2-2a1e79a1b07a')]","[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], [0, 1, 2, 3, 4, 5, 6, 7, 8], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4]]","[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f37f54de220>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f37f54deca0>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f37f5913c10>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f37f59d21c0>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f37f59d2460>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f37f59d2310>]","['5', '5']"
17,,[34],"[[141, 645, 720, 674]]",18,[35],"[[142, 264, 535, 295]]",[UUID('ce87ca6a-4e78-3414-a02b-c723c889192f')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f37f59bff40>],['17']
8,(a),[22],"[[140, 303, 371, 328]]",(b),[23],"[[141, 304, 240, 329]]",[UUID('a1a4158e-85ab-3661-ad8b-a14510ca6536')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f37f5913ee0>],['8(a)']
8,(d),"[26, 25, 24]","[[141, 303, 375, 329], [141, 303, 375, 329], [141, 1019, 272, 1045]]",(e),[27],"[[1018, 1420, 1084, 1443]]","[UUID('92a1dd5d-c9c3-33ab-81a6-aac165ca75f8'), UUID('2ea24487-bd3e-3c14-be52-29e2c675ff92')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]]","[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f37f57555b0>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f37f5752130>]","['8(d)', '8(d)', '8(d)']"
