note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
8,,[27],"[[102, 685, 1122, 708]]",9,[28],"[[101, 193, 341, 216]]",[UUID('803e4ccd-45f4-3e72-baf5-61665d4c3ac1')],"[[13, 14, 15, 16, 17, 18, 19]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef706271fd0>],['8']
16,,[32],"[[103, 434, 331, 454]]",17,[33],"[[598, 1515, 625, 1539]]","[UUID('7b3d0425-8067-3369-88e0-76fcd7908a14'), UUID('6f53f1c9-3584-38b4-9c39-8f82bf755892')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef7fa6e34f0>, <UAT_app.database.db_models.TableLogs object at 0x7ef743161d00>]","['16', '16', '16', '16', '16']"
9,,[28],"[[101, 193, 341, 216]]",10,[29],"[[101, 185, 845, 222]]",[UUID('53916938-f986-38bb-bcf0-737f936d28be')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7419b1f70>],['9']
10,,[29],"[[101, 185, 845, 222]]",11,[29],"[[101, 793, 278, 829]]",[UUID('a06e3b53-e0be-3db4-bcd1-3314ae0e5795')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef744aba1f0>],['10']
6,,[25],"[[102, 207, 223, 227]]",7,[26],"[[598, 1515, 625, 1539]]","[UUID('3cda2494-7581-3ca8-b28e-1ea713f23b47'), UUID('82e88bce-76dd-35ef-a52d-e3a97539b769')]","[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef741816310>, <UAT_app.database.db_models.TableLogs object at 0x7ef6c5861970>]","['6', '6', '6']"
12,,[30],"[[102, 196, 212, 216]]",13,[31],"[[102, 190, 1116, 211]]","[UUID('d14d2477-200f-3b5a-8ef2-936e9eeb4a32'), UUID('692a34c6-6e9a-3170-b6de-d35b44cac97c')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23], [0, 1]]","[<UAT_app.database.db_models.TableLogs object at 0x7efbfd724760>, <UAT_app.database.db_models.TableLogs object at 0x7ef7443f9040>]",['12']
13,,[31],"[[102, 190, 1116, 211]]",14,[31],"[[102, 731, 206, 751]]",[UUID('692a34c6-6e9a-3170-b6de-d35b44cac97c')],"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7443f9040>],"['13', '13']"
14,,[31],"[[102, 731, 206, 751]]",15,[32],"[[103, 216, 261, 239]]",[UUID('692a34c6-6e9a-3170-b6de-d35b44cac97c')],"[[24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7443f9040>],"['14', '14']"
15,,[32],"[[103, 216, 261, 239]]",16,[32],"[[103, 434, 331, 454]]",[UUID('460de430-8dc1-3aeb-b3b8-98c506f3c79d')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef6c54a5130>],['15']
2,,[22],"[[102, 211, 254, 233]]",3,[22],"[[102, 564, 316, 587]]",[UUID('62bb700e-bffd-38b9-94b0-ba261eab5f0e')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7458174c0>],['2']
3,,[22],"[[102, 564, 316, 587]]",4,[23],"[[101, 210, 283, 233]]",[UUID('ff582458-1744-36ca-9a95-081248e630cd')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7458175e0>],"['3', '3']"
4,,[23],"[[101, 210, 283, 233]]",5,[24],"[[101, 194, 295, 215]]",[UUID('fcef9a0b-8be5-3130-9e5e-4dc276fc5f2e')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7403c6ee0>],['4']
