note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
7,,[20],"[[140, 703, 251, 725]]",8,[20],"[[141, 855, 371, 878]]",[UUID('3ee5857a-72fa-3ace-85cc-357663e4ef47')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7f0cc84cc4f0>],"['7', '7']"
8,,[20],"[[141, 855, 371, 878]]",9,[20],"[[140, 1067, 308, 1090]]",[UUID('3ee5857a-72fa-3ace-85cc-357663e4ef47')],"[[3, 4, 5, 6, 7, 8, 9, 10]]",[<UAT_app.database.db_models.TableLogs object at 0x7f0cc84cc4f0>],['8']
9,,[20],"[[140, 1067, 308, 1090]]",10,[21],"[[139, 316, 491, 340]]",[UUID('3ee5857a-72fa-3ace-85cc-357663e4ef47')],"[[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]]",[<UAT_app.database.db_models.TableLogs object at 0x7f0cc84cc4f0>],['9']
6,,[19],"[[141, 315, 309, 340]]",7,[20],"[[140, 703, 251, 725]]","[UUID('0dbb6db9-1ae3-31d6-8a5e-0f1eb8bbbb8f'), UUID('6da65308-0456-37d0-ae1e-455473488ba2'), UUID('6eafb2da-54de-3a48-bf05-b536e4830100'), UUID('ed7772cc-a60d-36c6-a65c-7964dfb14455'), UUID('c1249173-7538-3f7c-bcb9-29b8b6c455eb')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17], [0, 1, 2, 3, 4], [0, 1, 2]]","[<UAT_app.database.db_models.TableLogs object at 0x7f0fe775dcd0>, <UAT_app.database.db_models.TableLogs object at 0x7f0c1b652550>, <UAT_app.database.db_models.TableLogs object at 0x7f0c1b652340>, <UAT_app.database.db_models.TableLogs object at 0x7f0f9a4cda30>, <UAT_app.database.db_models.TableLogs object at 0x7f0f9a4cdeb0>]","['6', '6']"
10,,[21],"[[139, 316, 491, 340]]",11,[22],"[[140, 314, 444, 342]]",[UUID('fd68fb09-4bc3-36f5-9785-3e84f907c6b4')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]",[<UAT_app.database.db_models.TableLogs object at 0x7f0f9a4ed0d0>],['10']
11,,[22],"[[140, 314, 444, 342]]",12,[22],"[[141, 725, 458, 749]]",[UUID('6f42b080-6d6c-397c-a431-16a4090a9c45')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7f0ecc3f1df0>],['11']
13,,[22],"[[140, 1013, 303, 1039]]",14,[23],"[[141, 317, 472, 342]]",[UUID('92f0a46d-c22f-393d-b159-57f87c7580a6')],"[[8, 9, 10, 11, 12, 13, 14, 15, 16]]",[<UAT_app.database.db_models.TableLogs object at 0x7f0b65dad160>],['13']
12,,[22],"[[141, 725, 458, 749]]",13,[22],"[[140, 1013, 303, 1039]]",[UUID('92f0a46d-c22f-393d-b159-57f87c7580a6')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7f0b65dad160>],"['12', '12']"
16,,[24],"[[140, 314, 334, 342]]",17,[24],"[[140, 652, 445, 680]]",[UUID('8c80d0b0-d38e-39d9-b54a-24dc17b62c23')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7f0b2c13c130>],['16']
4,,[18],"[[140, 315, 582, 338]]",5,[18],"[[141, 700, 469, 726]]",[UUID('e3d09e8f-1d2a-3dac-a499-e4b898517501')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",[<UAT_app.database.db_models.TableLogs object at 0x7f0f9a4cdbb0>],['4']
5,2,[18],"[[140, 878, 351, 904]]",5.3,[18],"[[143, 1126, 334, 1147]]",[UUID('e3d09e8f-1d2a-3dac-a499-e4b898517501')],"[[14, 15, 16, 17, 18, 19, 20, 21, 22, 23]]",[<UAT_app.database.db_models.TableLogs object at 0x7f0f9a4cdbb0>],['5.2']
5,1,[18],"[[140, 736, 352, 763]]",5.2,[18],"[[140, 878, 351, 904]]",[UUID('e3d09e8f-1d2a-3dac-a499-e4b898517501')],"[[10, 11, 12, 13, 14]]",[<UAT_app.database.db_models.TableLogs object at 0x7f0f9a4cdbb0>],['5.1']
5,3,[18],"[[143, 1126, 334, 1147]]",5.4,[19],"[[1030, 1522, 1051, 1544]]","[UUID('e3d09e8f-1d2a-3dac-a499-e4b898517501'), UUID('0dbb6db9-1ae3-31d6-8a5e-0f1eb8bbbb8f'), UUID('6da65308-0456-37d0-ae1e-455473488ba2'), UUID('6eafb2da-54de-3a48-bf05-b536e4830100')]","[[23, 24, 25, 26, 27, 28], [0, 1, 2, 3, 4, 5, 6, 7, 8], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]]","[<UAT_app.database.db_models.TableLogs object at 0x7f0f9a4cdbb0>, <UAT_app.database.db_models.TableLogs object at 0x7f0fe775dcd0>, <UAT_app.database.db_models.TableLogs object at 0x7f0c1b652550>, <UAT_app.database.db_models.TableLogs object at 0x7f0c1b652340>]",['5.3']
