note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
6,,[31],"[[185, 1025, 484, 1050]]",7,[32],"[[184, 532, 491, 555]]",[UUID('902f746b-951f-3859-af81-d5f121617c40')],"[[0, 1, 2]]",[<UAT_app.database.db_models.TableLogs object at 0x7f23be43b7f0>],"['6', '6']"
7,,[32],"[[184, 532, 491, 555]]",8,[32],"[[185, 1010, 343, 1031]]",[UUID('257df664-f76a-3727-a92d-bf075dc1962e')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]",[<UAT_app.database.db_models.TableLogs object at 0x7f23bcdff4c0>],"['7', '7']"
8,,[32],"[[185, 1010, 343, 1031]]",9,[33],"[[185, 297, 426, 320]]",[UUID('2e05b399-7dda-3c5c-bfb9-42e8a09da101')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7f23bcdffbb0>],['8']
9,,[33],"[[185, 297, 426, 320]]",10,[34],"[[185, 295, 515, 321]]","[UUID('43658fc4-b02e-3b1e-9237-567eada7c89c'), UUID('2f0a320d-0d2f-3fab-83c7-d5636b8b80fa')]","[[0, 1, 2, 3, 4, 5, 6], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]","[<UAT_app.database.db_models.TableLogs object at 0x7f23bc9d9160>, <UAT_app.database.db_models.TableLogs object at 0x7f23bc9d9bb0>]","['9', '9']"
17,,[39],"[[186, 723, 525, 744]]",18,[40],"[[1019, 1432, 1041, 1450]]","[UUID('5db0e055-b4a9-3089-9c0c-62dae832216f'), UUID('1fb9852d-a167-3a85-9ec5-fb264f7383ef')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], [0, 1, 2, 3, 4, 5, 6, 7, 8]]","[<UAT_app.database.db_models.TableLogs object at 0x7f23bf73b370>, <UAT_app.database.db_models.TableLogs object at 0x7f23bcc1ea00>]","['17', '17', '17', '17']"
10,,[34],"[[185, 295, 515, 321]]",11,[35],"[[184, 295, 695, 321]]",[UUID('95db5175-a05f-36f2-bf9b-4480c7eb8b92')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]]",[<UAT_app.database.db_models.TableLogs object at 0x7f23bcdfff10>],['10']
11,,[35],"[[184, 295, 695, 321]]",12,[35],"[[185, 875, 306, 900]]",[UUID('516d1f7c-f563-383a-bb22-3e440a1d42ff')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]]",[<UAT_app.database.db_models.TableLogs object at 0x7f23bc9d5700>],['11']
5,,[29],"[[185, 297, 341, 318]]",6,[30],"[[1019, 1432, 1041, 1452]]","[UUID('a4c8414a-5581-3637-8478-4a10b2b5e0e1'), UUID('63b86756-9085-3b65-877c-75d9002b17bb'), UUID('5b87e741-8f42-3f28-a832-7c837c87722c')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], [0, 1, 2, 3, 4, 5, 6, 7, 8], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]]","[<UAT_app.database.db_models.TableLogs object at 0x7f23bdec1970>, <UAT_app.database.db_models.TableLogs object at 0x7f23bdec10a0>, <UAT_app.database.db_models.TableLogs object at 0x7f23bd4a5fd0>]","['5', '5']"
13,,[37],"[[185, 988, 499, 1014]]",14,[38],"[[185, 295, 482, 321]]",[UUID('e963ca09-0721-3039-91f3-a10da02b3c12')],"[[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]]",[<UAT_app.database.db_models.TableLogs object at 0x7f23bcdff430>],"['13', '13']"
14,,[38],"[[185, 295, 482, 321]]",15,[38],"[[186, 575, 339, 597]]",[UUID('9ca85e64-556f-3f04-9f3b-78d8df259900')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7f23bcdffee0>],"['14', '14']"
15,,[38],"[[186, 575, 339, 597]]",16,[38],"[[188, 679, 1033, 697]]",[UUID('d891f10b-e12f-3ddd-9edb-cb90c041bd8b')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7f23bcdff8e0>],"['15', '15']"
16,,[38],"[[186, 1085, 469, 1109]]",17,[39],"[[186, 723, 525, 744]]","[UUID('d891f10b-e12f-3ddd-9edb-cb90c041bd8b'), UUID('a7394bb8-8b2e-3df3-956e-5df2ae6167b3')]","[[17, 18, 19, 20, 21, 22, 23, 24, 25], [0, 1, 2, 3, 4, 5, 6]]","[<UAT_app.database.db_models.TableLogs object at 0x7f23bcdff8e0>, <UAT_app.database.db_models.TableLogs object at 0x7f23bc9d93d0>]","['16', '16']"
19,,[43],"[[185, 295, 487, 321]]",20,[44],"[[185, 646, 516, 666]]","[UUID('7270e9ea-aca2-3559-b8db-bf505909895c'), UUID('cf6a6d7b-0cc8-3518-aba1-d568dc9041fb')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24], [0, 1, 2, 3]]","[<UAT_app.database.db_models.TableLogs object at 0x7f23be4451f0>, <UAT_app.database.db_models.TableLogs object at 0x7f23be445d30>]","['19', '19', '19', '19', '19', '19', '19', '19']"
4,1,[27],"[[184, 331, 601, 355]]",4.2,[27],"[[185, 1065, 383, 1085]]","[UUID('097ec8a7-7b8d-33f9-8668-ffd1a0eb8db5'), UUID('c75419c8-60e2-3158-af00-6fb83cf005fb'), UUID('da873e69-d42d-31f6-91bd-6336b600b324')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], [1, 2]]","[<UAT_app.database.db_models.TableLogs object at 0x7f23be445850>, <UAT_app.database.db_models.TableLogs object at 0x7f23be445b20>, <UAT_app.database.db_models.TableLogs object at 0x7f23be445e80>]",['4.1']
4,2,[27],"[[185, 1065, 383, 1085]]",4.3,[28],"[[184, 331, 363, 355]]",[UUID('c75419c8-60e2-3158-af00-6fb83cf005fb')],"[[11, 12, 13, 14, 15, 16]]",[<UAT_app.database.db_models.TableLogs object at 0x7f23be445b20>],['4.2']
4,3,[28],"[[184, 331, 363, 355]]",4.4,[28],"[[185, 601, 488, 624]]",[UUID('6edb9789-58cf-3642-a90f-e761a38fab0c')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7f23ba329670>],['4.3']
4,6,[28],"[[185, 955, 368, 976]]",4.7,[29],"[[1019, 1432, 1041, 1452]]","[UUID('812518ed-be3d-3ece-960f-1480885f7354'), UUID('a4c8414a-5581-3637-8478-4a10b2b5e0e1'), UUID('63b86756-9085-3b65-877c-75d9002b17bb')]","[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], [0, 1, 2, 3, 4, 5, 6, 7, 8]]","[<UAT_app.database.db_models.TableLogs object at 0x7f23b911d310>, <UAT_app.database.db_models.TableLogs object at 0x7f23bdec1970>, <UAT_app.database.db_models.TableLogs object at 0x7f23bdec10a0>]",['4.6']
