note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
19,,[38],"[[111, 1159, 395, 1182]]",20,[39],"[[110, 187, 487, 212]]",[UUID('57e29d6c-43b4-33cc-b42b-c6fabe927da3')],"[[0, 1, 2]]",[<UAT_app.database.db_models.TableLogs object at 0x7fa45232d130>],"['19', '19']"
10,,[32],"[[112, 698, 485, 721]]",11,[33],"[[108, 214, 675, 233]]",[UUID('df7d8842-3bca-36e8-8d64-d9e640834d3d')],"[[7, 8, 9, 10, 11, 12]]",[<UAT_app.database.db_models.TableLogs object at 0x7fa452314550>],['10']
9,,[32],"[[110, 450, 319, 471]]",10,[32],"[[112, 698, 485, 721]]",[UUID('df7d8842-3bca-36e8-8d64-d9e640834d3d')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7fa452314550>],['9']
11,,[33],"[[108, 214, 675, 233]]",12,[34],"[[110, 200, 297, 220]]",[UUID('a73ca8b7-31b3-3bc8-9748-0d21f8e2df3c')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",[<UAT_app.database.db_models.TableLogs object at 0x7fa4522b24c0>],['11']
12,,[34],"[[110, 200, 297, 220]]",13,[35],"[[111, 212, 989, 231]]","[UUID('83afdd3f-cc81-39f8-80c4-75a67171b3bd'), UUID('c1013249-40d1-3049-b9ab-e79f395ab678')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], [0, 1, 2, 3, 4, 5, 6, 7, 8]]","[<UAT_app.database.db_models.TableLogs object at 0x7fa45232a220>, <UAT_app.database.db_models.TableLogs object at 0x7fa4522977c0>]",['12']
16,,[36],"[[111, 208, 989, 230]]",17,[36],"[[111, 572, 990, 593]]",[UUID('25345b15-2b21-3e6d-9ed8-87402aa11d2d')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7fa4522b2fd0>],"['16', '16']"
15,,[35],"[[111, 761, 989, 781]]",16,[36],"[[111, 208, 989, 230]]",[UUID('0bbd088f-4da5-331c-b50e-d53d07211190')],"[[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]]",[<UAT_app.database.db_models.TableLogs object at 0x7fa45229e3d0>],"['15', '15', '15', '15']"
14,,[35],"[[111, 518, 989, 542]]",15,[35],"[[154, 672, 1024, 692]]",[UUID('0bbd088f-4da5-331c-b50e-d53d07211190')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7fa45229e3d0>],"['14', '14']"
22,,[40],"[[110, 471, 296, 491]]",23,[40],"[[111, 646, 452, 667]]",[UUID('a8ce8b23-5ec5-369e-bb1c-e8f9644f5311')],"[[5, 6, 7, 8, 9, 10]]",[<UAT_app.database.db_models.TableLogs object at 0x7fa4530d9ee0>],"['22', '22']"
13,,[35],"[[111, 212, 989, 231]]",14,[35],"[[111, 518, 989, 542]]",[UUID('782ae983-6647-3477-978c-3337ae1fade2')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7fa4522a1370>],['13']
4,,[29],"[[110, 218, 1011, 240]]",5,[29],"[[111, 564, 1011, 588]]",[UUID('eb5107cb-1a53-3651-9744-26fafa8c7a90')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]]",[<UAT_app.database.db_models.TableLogs object at 0x7fa4522a11f0>],['4']
6,,[29],"[[110, 861, 1011, 883]]",7,[29],"[[111, 1078, 1010, 1100]]",[UUID('eb5107cb-1a53-3651-9744-26fafa8c7a90')],"[[31, 24, 25, 26, 27, 28, 29, 30]]",[<UAT_app.database.db_models.TableLogs object at 0x7fa4522a11f0>],['6']
