note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
7,,[18],"[[55, 177, 540, 203]]",8,[18],"[[55, 651, 547, 675]]",[UUID('aca7c1c1-924a-36c7-b187-6be0bf11cce8')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1cd65a1b20>],"['7', '7']"
8,,[18],"[[55, 651, 547, 675]]",9,[18],"[[55, 935, 503, 960]]",[UUID('9ddfe81e-e8af-3cf8-9a0f-21863ea947ba')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d48c2e790>],['8']
9,,[18],"[[55, 935, 503, 960]]",10,[18],"[[55, 1128, 446, 1151]]",[UUID('df140151-d077-3c30-b174-f3ead2438ae2')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d478ca0d0>],['9']
10,,[18],"[[55, 1128, 446, 1151]]",11,[18],"[[55, 1318, 548, 1343]]",[],[],[],['10']
11,,[18],"[[55, 1318, 548, 1343]]",12,[19],"[[55, 177, 491, 202]]",[UUID('11fd22ab-d036-3f70-ae65-55831d4a3f9a')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d45dc3d60>],['11']
12,,[19],"[[55, 177, 491, 202]]",13,[19],"[[55, 460, 630, 488]]",[UUID('957b7fd9-0197-31a2-9b99-47b6c2b6779c')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d49a1c790>],['12']
13,,[19],"[[55, 460, 630, 488]]",14,[20],"[[55, 179, 521, 203]]","[UUID('65a05c6e-4403-383f-a04b-f291b8cedf69'), UUID('a08773ae-e4fe-394b-8c54-63bf34d5b4fa')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d46aaf580>, <UAT_app.database.db_models.TableLogs object at 0x7f1d49a1c040>]","['13', '13']"
14,,[20],"[[55, 179, 521, 203]]",15,[20],"[[55, 554, 446, 578]]",[UUID('25b8484c-285d-3b8b-83f3-b3ddcb100a78')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d49a1c400>],['14']
15,,[20],"[[55, 554, 446, 578]]",16,[20],"[[55, 744, 458, 769]]",[UUID('b7aa0d9f-7964-31a6-9211-af15f865bdc1')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1cd691eb50>],['15']
16,,[20],"[[55, 744, 458, 769]]",17,[21],"[[55, 179, 587, 203]]",[UUID('b7aa0d9f-7964-31a6-9211-af15f865bdc1')],"[[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1cd691eb50>],['16']
17,,[21],"[[55, 179, 587, 203]]",18,[21],"[[54, 368, 559, 394]]",[UUID('8e6e11fc-484d-36c1-a786-93118a7fc3d3')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d0845ba60>],['17']
18,,[21],"[[54, 368, 559, 394]]",19,[21],"[[55, 746, 431, 771]]",[UUID('6008c860-ee24-3222-9c91-ba4b44c2561f')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1cd691eb80>],['18']
