note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
8,,[19],"[[97, 818, 378, 842]]",9,[19],"[[97, 897, 390, 920]]",[UUID('1faef24a-ea53-33a7-895c-1b05df16f8d2')],"[[15, 16, 17]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6d3d9c10>],['8']
9,,[19],"[[97, 897, 390, 920]]",10,[19],"[[98, 1161, 238, 1180]]",[UUID('1faef24a-ea53-33a7-895c-1b05df16f8d2')],"[[17, 18, 19, 20, 21, 22, 23, 24, 25]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6d3d9c10>],['9']
10,,[19],"[[98, 1161, 238, 1180]]",11,[20],"[[98, 284, 403, 310]]",[UUID('1faef24a-ea53-33a7-895c-1b05df16f8d2')],"[[25, 26, 27, 28, 29, 30]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6d3d9c10>],['10']
11,,[20],"[[98, 284, 403, 310]]",12,[21],"[[98, 286, 291, 307]]","[UUID('c96251c5-9873-3c2b-831c-ac1ec29eac8a'), UUID('2055c5d2-3ad0-38f6-8b13-ad865b73e72f')]","[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]","[<UAT_app.database.db_models.TableLogs object at 0x7fda6f117790>, <UAT_app.database.db_models.TableLogs object at 0x7fda6f117580>]",['11']
19,,[24],"[[98, 662, 353, 682]]",20,[24],"[[98, 1313, 227, 1335]]","[UUID('134bfaca-4d5d-3e7d-8b49-90562fbc7baa'), UUID('c8f989a8-0c33-3a5f-a66f-ce29577c72f3')]","[[0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdaf6133190>, <UAT_app.database.db_models.TableLogs object at 0x7fdaf6133ca0>]","['19', '19']"
12,,[21],"[[98, 286, 291, 307]]",13,[22],"[[98, 286, 203, 307]]","[UUID('24151a26-fca2-3a53-a418-d62c52007062'), UUID('1188eac4-eec2-3bf9-b223-80550a248139')]","[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4, 5]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdaf64f69d0>, <UAT_app.database.db_models.TableLogs object at 0x7fdaf64f67c0>]",['12']
14,,[22],"[[98, 1461, 363, 1486]]",15,[23],"[[98, 697, 233, 718]]",[UUID('579ca6d1-c30d-3ecb-bbba-bd1cc3040164')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdfad5601c0>],['14']
15,,[23],"[[98, 697, 233, 718]]",16,[23],"[[98, 950, 302, 971]]",[UUID('e6154000-5f08-3931-a74d-a217470407a5')],"[[0, 1, 2]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdfad5605b0>],['15']
16,,[23],"[[98, 950, 302, 971]]",17,[23],"[[98, 1119, 264, 1144]]",[UUID('dd007d73-3464-3ea7-b145-3fc8c1251b8b')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdfad560b20>],"['16', '16']"
17,,[23],"[[98, 1119, 264, 1144]]",18,[24],"[[98, 286, 378, 307]]","[UUID('dd007d73-3464-3ea7-b145-3fc8c1251b8b'), UUID('d4c46681-c293-359d-8843-52f55aecf2e9')]","[[5, 6], [0, 1]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdfad560b20>, <UAT_app.database.db_models.TableLogs object at 0x7fdba961aaf0>]",['17']
4,(a),[18],"[[137, 335, 513, 363]]",(b),[18],"[[138, 473, 314, 495]]",[UUID('b02e1c28-5285-3a3d-a710-10ff5bc11d53')],"[[1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdf4617be50>],['4(a)']
4,(b),"[19, 18]","[[137, 534, 624, 560], [138, 473, 314, 495]]",(c),[20],"[[1071, 1563, 1094, 1585]]","[UUID('1faef24a-ea53-33a7-895c-1b05df16f8d2'), UUID('c96251c5-9873-3c2b-831c-ac1ec29eac8a'), UUID('2055c5d2-3ad0-38f6-8b13-ad865b73e72f')]","[[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]","[<UAT_app.database.db_models.TableLogs object at 0x7fda6d3d9c10>, <UAT_app.database.db_models.TableLogs object at 0x7fda6f117790>, <UAT_app.database.db_models.TableLogs object at 0x7fda6f117580>]",['4(b)']
7,,[19],"[[97, 284, 320, 309]]",8,[19],"[[97, 818, 378, 842]]",[UUID('1faef24a-ea53-33a7-895c-1b05df16f8d2')],"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6d3d9c10>],['7']
