note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
16,,[34],"[[130, 928, 433, 954]]",17,[35],"[[130, 171, 304, 198]]",[UUID('0cb2f51e-7c14-3dda-b7d0-2d4d383a4d24')],"[[0, 1]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef740445640>],"['16', '16']"
7,,[31],"[[129, 485, 433, 508]]",8,[31],"[[129, 938, 288, 960]]",[UUID('4f080a11-a12b-3a12-9829-a6986a1bcbc2')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef742574f10>],['7']
8,,[31],"[[129, 938, 288, 960]]",9,[32],"[[129, 173, 343, 196]]",[UUID('33b89456-1edd-3dc9-a1c8-8110415c5562')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef740a0b4f0>],['8']
18,,[35],"[[130, 1019, 407, 1044]]",19,[36],"[[130, 535, 322, 558]]","[UUID('cab22731-c160-3037-a8eb-e1e1fc7c8964'), UUID('e502d3d5-f548-32c7-a2bb-2c18ffa6c8af')]","[[5, 6, 7, 8, 9, 10, 11, 12, 13], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef744e8c190>, <UAT_app.database.db_models.TableLogs object at 0x7ef743799be0>]","['18', '18']"
9,,[32],"[[129, 173, 343, 196]]",10,[32],"[[129, 457, 460, 484]]",[UUID('5b5f3f02-e0dd-3764-b722-c56ab5d0d2a8')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef740b0cf70>],['9']
10,,[32],"[[129, 457, 460, 484]]",11,[32],"[[129, 1138, 282, 1163]]",[UUID('5b5f3f02-e0dd-3764-b722-c56ab5d0d2a8')],"[[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef740b0cf70>],['10']
20,,[37],"[[129, 173, 368, 198]]",21,[38],"[[129, 194, 310, 221]]",[UUID('6508fc95-1b38-3967-9f66-36433b1e9d67')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef740b0c100>],['20']
11,,[32],"[[129, 1138, 282, 1163]]",12,[33],"[[130, 522, 429, 552]]","[UUID('72df01df-e9ff-32a1-99e0-c4fb76bc69a6'), UUID('953265d4-6ae3-3113-94e6-e5d51827ade3')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], [0, 1, 2, 3, 4, 5]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef745a15d30>, <UAT_app.database.db_models.TableLogs object at 0x7ef74595fdc0>]",['11']
6,,[30],"[[138, 173, 282, 194]]",7,[31],"[[129, 485, 433, 508]]","[UUID('fb4c1241-0d31-30a5-91af-8bdf923fc802'), UUID('583c5030-97ce-3df0-89b5-6321cc7a148c'), UUID('64bb9b79-6681-3284-b0f3-0980cf85bdca'), UUID('5cf98f26-6012-3e89-9333-55ac396de676')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10], [0, 1, 2, 3, 4, 5, 6, 7]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef6c54d6910>, <UAT_app.database.db_models.TableLogs object at 0x7ef6c54d6e50>, <UAT_app.database.db_models.TableLogs object at 0x7ef6c54d6250>, <UAT_app.database.db_models.TableLogs object at 0x7ef6c5b13a30>]","['6', '6']"
12,,[33],"[[130, 522, 429, 552]]",13,[33],"[[194, 716, 1012, 737]]",[UUID('53bfafef-09c4-3077-a5dd-a4b7b888dad7')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef745463340>],['12']
19,,[36],"[[130, 535, 322, 558]]",20,[37],"[[129, 173, 368, 198]]","[UUID('0f7ff9cc-62a9-39d1-af82-80071e2e7104'), UUID('8f6e86e8-abfc-3b98-b59a-e7f33b493f00')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10], [0, 1, 2]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef744e32220>, <UAT_app.database.db_models.TableLogs object at 0x7ef744e32730>]","['19', '19', '19', '19']"
13,,[33],"[[130, 855, 294, 880]]",14,[34],"[[130, 171, 323, 201]]",[UUID('563141dc-a735-356d-b90a-6c1ec43607ad')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]",[<UAT_app.database.db_models.TableLogs object at 0x7efbe65b3760>],"['13', '13']"
17,,[35],"[[130, 171, 304, 198]]",18,[35],"[[130, 1019, 407, 1044]]","[UUID('8c91ca99-d5a2-3dd6-af9f-fa932e76356c'), UUID('cab22731-c160-3037-a8eb-e1e1fc7c8964'), UUID('9311c2ad-5f64-3a7c-844a-7e86bc1d7cab')]","[[0, 1, 2, 3], [0, 1, 2, 3, 4, 5], [0, 1]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef742645a00>, <UAT_app.database.db_models.TableLogs object at 0x7ef744e8c190>, <UAT_app.database.db_models.TableLogs object at 0x7ef742645670>]",['17']
14,,[34],"[[130, 171, 323, 201]]",15,[34],"[[129, 737, 271, 762]]",[UUID('a39628af-b843-37ff-a200-bd5289dfe09c')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef74595f850>],['14']
15,,[34],"[[129, 737, 271, 762]]",16,[34],"[[130, 928, 433, 954]]",[UUID('3574b223-f7d1-3447-8568-79f20b276f2b')],"[[0, 1, 2]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef740a0b610>],['15']
