note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
6,,[27],"[[89, 271, 433, 296]]",7,[27],"[[86, 909, 247, 934]]","[UUID('de4b619f-6e7e-3f48-b678-a201f96d4626'), UUID('23c48b19-fc25-3ba8-bb7f-463d1060d66a')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10], [0, 1, 2, 3, 4]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdaf28aa1f0>, <UAT_app.database.db_models.TableLogs object at 0x7fdba88df520>]",['6']
7,,[27],"[[86, 909, 247, 934]]",8,[27],"[[82, 1341, 346, 1366]]",[UUID('068a9a9c-c9cb-3330-88ba-79b13fc2483c')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf47bf400>],['7']
8,,[27],"[[82, 1341, 346, 1366]]",9,[28],"[[56, 1141, 77, 1172]]",[UUID('5435ab0f-a743-371d-8c73-03e03c409ade')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6eaf6ee0>],['8']
10,,[30],"[[89, 317, 307, 345]]",11,[30],"[[84, 1027, 400, 1059]]",[UUID('bbdd0957-801d-3ff7-9bf5-c908c5717bfc')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdbaf4842e0>],['10']
5,,[25],"[[88, 738, 345, 766]]",6,[26],"[[1057, 1628, 1081, 1649]]","[UUID('0686ba19-598f-38cf-8d38-1b2641d572c9'), UUID('2e106e4f-f007-311c-ab2e-8e32e2690d01'), UUID('91f91c8e-45e8-3381-9428-3a1ed0214604'), UUID('ef86ceec-7da2-3edd-b8a4-363aac5d132e')]","[[0, 1, 2, 3, 4, 5, 6], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdba96ceeb0>, <UAT_app.database.db_models.TableLogs object at 0x7fdba96ce070>, <UAT_app.database.db_models.TableLogs object at 0x7fdbaf484be0>, <UAT_app.database.db_models.TableLogs object at 0x7fdbaf484610>]","['5', '5']"
11,,[30],"[[84, 1027, 400, 1059]]",12,[31],"[[94, 269, 259, 300]]",[UUID('abbda4b8-03d0-30ec-a585-87918dec208d')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf64634f0>],['11']
12,,[31],"[[94, 269, 259, 300]]",13,[32],"[[101, 269, 245, 296]]",[UUID('b91837b5-695d-36aa-8770-35160416f22a')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdcf073bd60>],"['12', '12']"
13,,[32],"[[101, 269, 245, 296]]",14,[32],"[[88, 1027, 364, 1055]]","[UUID('bfb23e10-134c-3b7c-99be-7af1805eec6a'), UUID('08120b92-6de2-334c-9131-0e60810fc7b3')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], [0, 1, 2, 3, 4, 5]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdcf073b910>, <UAT_app.database.db_models.TableLogs object at 0x7fdaf4482760>]","['13', '13']"
14,,[32],"[[88, 1027, 364, 1055]]",15,[32],"[[86, 1253, 490, 1286]]",[UUID('56766b36-9511-3d8b-845c-4c06383be98f')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6f42ee80>],"['14', '14']"
15,,[32],"[[86, 1253, 490, 1286]]",16,[33],"[[91, 266, 288, 299]]",[],[],[],['15']
16,,[33],"[[91, 266, 288, 299]]",17,[33],"[[91, 605, 226, 633]]",[UUID('7d77384e-5fde-3cb1-8753-cf234e0322bc')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6e810370>],['16']
17,,[33],"[[91, 605, 226, 633]]",18,[33],"[[89, 823, 202, 850]]",[UUID('2f08914a-2cde-3db4-a398-a36d744ad306')],"[[0, 1]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6f0a0dc0>],['17']
2,,[24],"[[88, 317, 220, 343]]",3,[24],"[[86, 717, 225, 744]]",[UUID('ee8badaf-fdfb-3bd1-92fb-60bdce12108e')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdcf073b580>],['2']
4,,[25],"[[93, 314, 482, 345]]",5,[25],"[[88, 738, 345, 766]]",[UUID('b6d16154-6233-3081-a386-9c7d7b8ca706')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf2d5e910>],"['4', '4']"
