note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
9,,[29],"[[52, 606, 222, 628]]",10,[29],"[[54, 1072, 419, 1095]]",[UUID('5d06973e-1099-3bd5-b9cc-cf4b7a668df3')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d0849d3d0>],"['9', '9']"
8,,[29],"[[53, 182, 468, 203]]",9,[29],"[[52, 606, 222, 628]]",[UUID('89bf5f54-b1f1-3688-b268-e443d311bc72')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d0860d100>],"['8', '8']"
10,,[29],"[[54, 1072, 419, 1095]]",11,[30],"[[1136, 1180, 1152, 1195]]","[UUID('9555e259-f774-392b-9b71-4b8b778852d9'), UUID('36898bfc-15a2-381a-bdba-0ea00f81f2fd')]","[[0, 1, 2, 3, 4, 5, 6], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d45374340>, <UAT_app.database.db_models.TableLogs object at 0x7f1d4b0cf9d0>]",['10']
11,,[31],"[[55, 182, 275, 203]]",12,[31],"[[90, 1021, 245, 1042]]",[UUID('7e18e263-b812-3947-b0a0-87b90ad8a29e')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d4b0cfee0>],['11']
7,,[27],"[[53, 182, 554, 203]]",8,[28],"[[1114, 1568, 1137, 1588]]","[UUID('cee7dbc2-bd4c-3b2c-b953-84a04810c717'), UUID('8a932f52-33fa-35e8-9d7b-f1b405341764')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1cd7b52490>, <UAT_app.database.db_models.TableLogs object at 0x7f1cd7f373d0>]","['7', '7', '7']"
14,,[32],"[[54, 434, 198, 455]]",15,[32],"[[54, 787, 387, 810]]",[UUID('daf2178e-ea3c-3bc2-aee4-a82d2e4c8605')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d474c1760>],['14']
15,,[32],"[[54, 787, 387, 810]]",16,[33],"[[54, 182, 212, 203]]",[UUID('2f45a53d-db22-334b-9460-4cc14bdb4753')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d49f4b460>],"['15', '15', '15']"
16,,[33],"[[54, 182, 212, 203]]",17,[34],"[[54, 180, 332, 205]]",[UUID('68905b23-12bb-308b-a87d-6d054d5df6e2')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d083fcbe0>],"['16', '16']"
13,,[32],"[[55, 182, 304, 203]]",14,[32],"[[54, 434, 198, 455]]",[UUID('8a7f296e-6ade-3ae7-a5a0-f327c5441b93')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d4a29b910>],['13']
5,,[25],"[[54, 182, 673, 205]]",6,[26],"[[53, 1142, 412, 1164]]","[UUID('34174b04-c4ee-3dfb-9032-1ad24bb46786'), UUID('429a04e9-bee4-3d3c-83b2-148a1e2ca3e5'), UUID('40ea01c1-456d-3a44-b205-78d06cd92c90')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10], [0, 1, 2, 3, 4]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d475f1220>, <UAT_app.database.db_models.TableLogs object at 0x7f1d474c1400>, <UAT_app.database.db_models.TableLogs object at 0x7f21a6c48d30>]","['5', '5', '5', '5']"
4,,[24],"[[54, 182, 361, 203]]",5,[25],"[[54, 182, 673, 205]]","[UUID('0843991a-4b8c-3646-af9a-e5d17637d7d1'), UUID('325a9d96-af57-3d56-82d4-b6f244743fae'), UUID('7f19f150-c112-3dc4-98d3-2300f1567e39')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16], [0, 1, 2, 3, 4, 5]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d4a00e610>, <UAT_app.database.db_models.TableLogs object at 0x7f1d4a00e940>, <UAT_app.database.db_models.TableLogs object at 0x7f1d4a00efa0>]",['4']
