note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
6,,[30],"[[153, 285, 482, 313]]",7,[30],"[[151, 476, 498, 502]]",[UUID('10ea8310-a120-3e54-9bcd-a1fab97f6bc4')],"[[2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7f0fe1e163d0>],['6']
7,,[30],"[[151, 476, 498, 502]]",8,[31],"[[151, 289, 326, 313]]","[UUID('acb20b01-444b-3627-9946-6e9f50fca63f'), UUID('010dff49-81dd-337a-906f-e464a741a5f0')]","[[0, 1, 2, 3, 4, 5], [0, 1, 2]]","[<UAT_app.database.db_models.TableLogs object at 0x7f0fe1e861c0>, <UAT_app.database.db_models.TableLogs object at 0x7f0fe1e0f460>]",['7']
8,,[31],"[[151, 289, 326, 313]]",9,[31],"[[147, 765, 539, 790]]",[UUID('010dff49-81dd-337a-906f-e464a741a5f0')],"[[2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7f0fe1e0f460>],['8']
10,,[32],"[[155, 258, 532, 287]]",11,[33],"[[152, 228, 326, 256]]",[UUID('1bbbedbc-9b95-39b5-8ffa-a2643e707336')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]]",[<UAT_app.database.db_models.TableLogs object at 0x7f0fcf758a00>],['10']
4,,[28],"[[152, 290, 329, 317]]",5,[29],"[[146, 1244, 453, 1270]]","[UUID('380327ed-b9b8-3cf4-b376-722e2e71380a'), UUID('a1c2437a-7f13-3c8f-ae90-6e20a35a1344'), UUID('8ee36cb3-a3b8-3f89-b638-607f3ab767eb'), UUID('0dd3c151-ba11-338a-a6a6-6d00a6e78e33')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19], [0, 1, 2, 3]]","[<UAT_app.database.db_models.TableLogs object at 0x7f0fe1e8c3d0>, <UAT_app.database.db_models.TableLogs object at 0x7f0fe1e8ccd0>, <UAT_app.database.db_models.TableLogs object at 0x7f0fcf76f160>, <UAT_app.database.db_models.TableLogs object at 0x7f0fcf76fc40>]","['4', '4']"
11,,[33],"[[152, 228, 326, 256]]",12,[34],"[[153, 289, 475, 317]]","[UUID('b592e787-b401-3262-9d6a-c1ad2f93541e'), UUID('7f37ad56-6fa6-3ac0-9d83-2c825deb8bcc')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16], [0, 1, 2]]","[<UAT_app.database.db_models.TableLogs object at 0x7f0fe6d3a520>, <UAT_app.database.db_models.TableLogs object at 0x7f0fcf765fd0>]",['11']
12,,[34],"[[153, 289, 475, 317]]",13,[34],"[[152, 724, 475, 752]]",[UUID('7f37ad56-6fa6-3ac0-9d83-2c825deb8bcc')],"[[2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7f0fcf765fd0>],['12']
9,,[31],"[[147, 765, 539, 790]]",10,[32],"[[155, 258, 532, 287]]",[UUID('39906b16-1b9f-3887-b026-3669fd9585b7')],"[[0, 1]]",[<UAT_app.database.db_models.TableLogs object at 0x7f0fe1efed90>],['9']
13,,[34],"[[152, 724, 475, 752]]",14,[35],"[[999, 1638, 1027, 1664]]","[UUID('9ccaa9e9-ce57-3be2-9f67-955fea583d8c'), UUID('c8ca2b19-51b9-3a54-b832-32848e532930')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]","[<UAT_app.database.db_models.TableLogs object at 0x7f0fe6d04550>, <UAT_app.database.db_models.TableLogs object at 0x7f0fcf76fe20>]","['13', '13']"
14,,[36],"[[154, 284, 322, 310]]",15,[37],"[[157, 225, 283, 251]]","[UUID('9510be7c-3ff4-33c2-8af7-39b3bb753fab'), UUID('afb8a1f4-571f-3e72-8377-9096cf901534')]","[[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], [0, 1, 2, 3, 4]]","[<UAT_app.database.db_models.TableLogs object at 0x7f0fcf758430>, <UAT_app.database.db_models.TableLogs object at 0x7f0fcf758e80>]","['14', '14']"
16,,[38],"[[154, 225, 412, 256]]",17,[39],"[[153, 226, 694, 254]]","[UUID('0b51e3c8-0829-3a66-b6d2-5aee269e940a'), UUID('fc223cb9-2cdb-3c03-95a6-f07d382cb8ef')]","[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4, 5, 6]]","[<UAT_app.database.db_models.TableLogs object at 0x7f0fe1eb1fa0>, <UAT_app.database.db_models.TableLogs object at 0x7f0fe1eb17c0>]",['16']
3,(a),[27],"[[195, 331, 330, 359]]",(b),[27],"[[194, 565, 665, 593]]",[UUID('f9621a46-a1d6-39ec-b8ea-730779f57649')],"[[3, 4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7f0fe1ecdac0>],['3(a)']
