note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
20,(c),[31],"[[156, 1142, 909, 1172]]",(d),[32],"[[571, 1636, 599, 1657]]","[UUID('c8fec15b-bf4c-38e8-bcef-914b117d0dff'), UUID('ca6c2849-521f-35c0-9cf8-379b5345397f')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], [0, 1, 2, 3, 4, 5, 6, 7]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdaf2b44280>, <UAT_app.database.db_models.TableLogs object at 0x7fda6f166130>]",['20(c)']
8,,[24],"[[77, 1095, 1054, 1129]]",9,[25],"[[81, 361, 1127, 393]]","[UUID('a59b3d8b-1861-3829-8adc-ff7e8c76133b'), UUID('fd9906f3-f5fa-35fd-a496-cc5485d96aff')]","[[31, 32, 33, 34, 22, 23, 24, 25, 26, 27, 28, 29, 30], [0, 1]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdaf6a72790>, <UAT_app.database.db_models.TableLogs object at 0x7fda6e4b8f40>]",['8']
9,,[25],"[[81, 361, 1127, 393]]",10,[25],"[[84, 560, 478, 593]]",[UUID('fd9906f3-f5fa-35fd-a496-cc5485d96aff')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6e4b8f40>],['9']
10,,[25],"[[84, 560, 478, 593]]",11,[26],"[[88, 223, 489, 261]]","[UUID('000fe91b-df32-320d-aff6-728341d47afc'), UUID('4c5408ad-e887-395a-9a97-a027e561ffd6')]","[[0, 1], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdba8a44550>, <UAT_app.database.db_models.TableLogs object at 0x7fdba8a44610>]",['10']
11,,[26],"[[88, 223, 489, 261]]",12,[26],"[[81, 842, 271, 873]]","[UUID('f0dc3f11-2f74-396a-a1c0-084ea3f86255'), UUID('7e4034c8-4684-32de-be18-45f6eebd4337')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], [0, 1]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdba99bb1c0>, <UAT_app.database.db_models.TableLogs object at 0x7fdba99bb670>]",['11']
13,,[27],"[[84, 721, 420, 754]]",14,[28],"[[88, 246, 565, 282]]","[UUID('50211c0a-71ee-328f-bb11-553d47160755'), UUID('30645055-ea29-39b5-ac8d-d4646fa3491d'), UUID('7ceb6228-c2cc-3245-8293-16f02f70f5ae')]","[[0, 1, 2], [0, 1, 2], [0, 1, 2, 3, 4]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdba9de2580>, <UAT_app.database.db_models.TableLogs object at 0x7fdba9de25e0>, <UAT_app.database.db_models.TableLogs object at 0x7fdba9de2130>]",['13']
5,,[23],"[[81, 302, 328, 337]]",6,[24],"[[88, 307, 435, 346]]","[UUID('8df8be2c-1df2-3ba6-9c6a-7053377118c8'), UUID('53030854-6d22-3dd5-aa8e-80534659d0b1')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdba99bb910>, <UAT_app.database.db_models.TableLogs object at 0x7fdba99bb100>]","['5', '5']"
14,,[28],"[[88, 246, 565, 282]]",15,[28],"[[82, 795, 331, 828]]",[UUID('814f4f10-9dff-386c-8750-50ee5cc3ab45')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba8a44640>],['14']
15,,[28],"[[82, 795, 331, 828]]",16,[29],"[[84, 241, 386, 274]]",[UUID('9e253cf2-28b5-373f-aaa0-92db533cb5fd')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba76261f0>],"['15', '15']"
16,,[29],"[[84, 241, 386, 274]]",17,[29],"[[83, 814, 448, 848]]",[UUID('1904838f-01df-36cc-872e-baaf0fe0e64e')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6e4b8d60>],['16']
17,,[29],"[[83, 814, 448, 848]]",18,[29],"[[84, 1131, 319, 1162]]",[UUID('c568aebe-29eb-34dd-a40e-74fdaf2157d5')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf6a72d60>],['17']
