note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
8,,[13],"[[115, 582, 434, 605]]",9,[13],"[[115, 707, 443, 726]]",[UUID('321a7f5b-1f5e-3f9c-a9ae-21d5c9bbb35a')],"[[14, 15, 16, 17, 18, 19]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7062242e0>],['8']
9,,[13],"[[115, 707, 443, 726]]",10,[13],"[[115, 876, 307, 897]]",[UUID('321a7f5b-1f5e-3f9c-a9ae-21d5c9bbb35a')],"[[19, 20, 21, 22, 23, 24, 25, 26]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7062242e0>],['9']
10,,[13],"[[115, 876, 307, 897]]",11,[13],"[[115, 1052, 321, 1073]]",[UUID('321a7f5b-1f5e-3f9c-a9ae-21d5c9bbb35a')],"[[31, 32, 33, 26, 27, 28, 29, 30]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7062242e0>],['10']
11,,[13],"[[115, 1052, 321, 1073]]",12,[13],"[[115, 1218, 456, 1239]]",[UUID('321a7f5b-1f5e-3f9c-a9ae-21d5c9bbb35a')],"[[33, 34, 35, 36, 37, 38, 39, 40]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7062242e0>],['11']
12,,[13],"[[115, 1218, 456, 1239]]",13,[14],"[[115, 343, 374, 366]]","[UUID('321a7f5b-1f5e-3f9c-a9ae-21d5c9bbb35a'), UUID('d632e8bd-4700-3a3f-a970-60cb157c8285'), UUID('14389c12-b3f1-360d-bb61-dd419ab2d3ed')]","[[40, 41, 42, 43, 44, 45, 46, 47, 48, 49], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef7062242e0>, <UAT_app.database.db_models.TableLogs object at 0x7ef742c208e0>, <UAT_app.database.db_models.TableLogs object at 0x7ef7419a6610>]",['12']
13,,[14],"[[115, 343, 374, 366]]",14,[14],"[[115, 697, 419, 718]]","[UUID('3298b428-5a5d-3184-906c-06d73cf746aa'), UUID('3d956b2c-65c9-34c3-9482-ce27d1dc685a')]","[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef7424d7d00>, <UAT_app.database.db_models.TableLogs object at 0x7ef7424d7f70>]",['13']
14,,[14],"[[115, 697, 419, 718]]",15,[14],"[[115, 1088, 251, 1110]]",[UUID('ac6996bc-c87f-3a99-bd86-f8ef75f04686')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7426c9e50>],"['14', '14']"
16,,[14],"[[115, 1552, 304, 1573]]",17,[15],"[[115, 680, 331, 703]]",[UUID('23ce5f8c-6ac8-3893-a5c1-653bbdfa2b68')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7419a61c0>],"['16', '16']"
17,,[15],"[[115, 680, 331, 703]]",18,[15],"[[115, 920, 564, 943]]",[UUID('9ffb10e4-485c-30e4-8aef-1c6d6efc0b09')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7419a6730>],['17']
2,,[11],"[[115, 1328, 431, 1351]]",3,[12],"[[115, 404, 411, 427]]","[UUID('76a0095f-5e7e-3654-be37-fa7390c3e7cd'), UUID('c5a0c918-fe46-3c1a-98dd-ae31c3effbdb')]","[[0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7, 8]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef74078b730>, <UAT_app.database.db_models.TableLogs object at 0x7ef7424d7fd0>]","['2', '2']"
