note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
21,a,"[77, 77, 74, 74, 73, 73, 55, 51, 50, 47, 46, 45, 45, 41, 41, 38, 30, 23]","[[122, 351, 179, 370], [162, 381, 1046, 404], [122, 412, 179, 430], [162, 440, 1046, 465], [122, 743, 179, 763], [123, 771, 303, 791], [111, 690, 1080, 717], [686, 388, 873, 411], [686, 511, 869, 536], [183, 1269, 261, 1289], [112, 991, 1079, 1014], [122, 463, 1046, 485], [122, 1078, 1046, 1100], [122, 730, 1068, 754], [122, 1188, 1070, 1213], [122, 374, 179, 393], [110, 463, 138, 483], [111, 624, 1079, 652]]",b,[23],"[[112, 504, 336, 527]]",[],[],[],['21a']
21,b,"[52, 48, 12]","[[110, 1032, 1080, 1059], [111, 1312, 1081, 1337], [111, 1091, 518, 1114]]",c,[12],"[[112, 333, 1039, 358]]",[],[],[],['21b']
8,a,"[77, 77, 77, 74, 74, 74, 74, 73, 73, 61, 61, 58, 56, 55, 54, 54, 53, 51, 50, 48, 47, 46, 45, 45, 45, 45, 44, 44, 42, 41, 41, 41, 41, 40, 40, 32, 32, 32, 32, 30, 30, 30, 28, 28, 25, 23, 23, 23, 22, 22, 19, 19, 18, 18, 15, 12]","[[162, 381, 1046, 404], [162, 437, 1046, 462], [162, 812, 1046, 837], [162, 440, 1046, 465], [162, 498, 1044, 522], [162, 873, 1045, 897], [111, 1402, 940, 1429], [123, 771, 303, 791], [143, 860, 1046, 881], [111, 744, 1079, 769], [110, 868, 1080, 894], [123, 386, 1049, 411], [123, 717, 1042, 744], [111, 1371, 1079, 1397], [122, 442, 1068, 465], [122, 1034, 1068, 1055], [111, 679, 1078, 705], [686, 388, 873, 411], [686, 511, 869, 536], [111, 1335, 1080, 1361], [155, 457, 802, 483], [112, 991, 1079, 1014], [123, 389, 1046, 412], [122, 511, 1046, 534], [123, 1004, 310, 1024], [122, 1126, 1046, 1149], [154, 652, 721, 677], [155, 971, 1079, 996], [112, 527, 1080, 554], [122, 730, 1068, 754], [122, 787, 1068, 812], [122, 1188, 1070, 1213], [122, 1246, 1068, 1269], [122, 1136, 1047, 1161], [123, 1281, 1050, 1309], [122, 386, 1046, 414], [123, 501, 1045, 526], [123, 559, 1045, 583], [112, 672, 1080, 697], [111, 337, 1080, 363], [110, 463, 138, 483], [153, 807, 1079, 833], [112, 269, 926, 294], [123, 325, 382, 348], [112, 1264, 1078, 1289], [111, 552, 1079, 578], [111, 624, 1079, 652], [111, 1118, 1080, 1141], [111, 679, 803, 705], [111, 1267, 1080, 1294], [110, 258, 1079, 284], [111, 282, 1080, 307], [110, 435, 1079, 462], [112, 631, 1080, 656], [111, 432, 1079, 455], [111, 309, 1080, 335]]",b,[12],"[[111, 115, 434, 143]]",[],[],[],['8a']
8,b,[49],"[[152, 896, 1079, 920]]",c,[49],"[[112, 116, 532, 143]]",[],[],[],['8b']
17,,[38],"[[111, 240, 440, 263]]",18,[39],"[[581, 1603, 610, 1629]]","[UUID('c5e4c22f-e9e7-3d23-9aeb-69977a46d22c'), UUID('cfdfea8a-66ef-3737-8997-2b154b20e255')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d47a076d0>, <UAT_app.database.db_models.TableLogs object at 0x7f1d43c6db50>]","['17', '17']"
25,,[60],"[[111, 365, 612, 394]]",26,[61],"[[581, 1603, 610, 1629]]","[UUID('0337a514-0387-3cef-8d1c-57951f7c6e34'), UUID('d1c7eead-ce40-3130-90ad-1e56705594b6'), UUID('c77ed41b-70dd-39ac-87ce-0c35fefead04')]","[[0, 1, 2, 3, 4, 5, 6], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], [0, 1, 2, 3, 4, 5, 6, 7]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d43c6d220>, <UAT_app.database.db_models.TableLogs object at 0x7f1d43c6d880>, <UAT_app.database.db_models.TableLogs object at 0x7f1d43c6dc70>]",['25']
28,,[66],"[[111, 167, 302, 192]]",29,[67],"[[581, 1603, 610, 1629]]",[],[],[],['28']
26,,[62],"[[111, 167, 432, 192]]",27,[63],"[[581, 1603, 610, 1629]]","[UUID('0eaeae39-c098-3b0e-930b-407d790ba5c0'), UUID('ff4e8ef1-dc8d-3915-9780-4ddb08d801f1'), UUID('5d1cf6dd-f340-3659-9153-e581e768fd5f')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13], [0, 1, 2, 3, 4]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d0885a310>, <UAT_app.database.db_models.TableLogs object at 0x7f1d0885a790>, <UAT_app.database.db_models.TableLogs object at 0x7f1cd667ed90>]",['26']
27,,[64],"[[111, 166, 500, 190]]",28,[65],"[[581, 1603, 610, 1629]]","[UUID('576bd7bc-2a8f-3b0b-b4f7-f2e5d9370241'), UUID('586700c0-4c6a-38a7-b87d-e23f08b32454'), UUID('c1ef1114-bccb-3c18-b1d7-92ac0f1e8de9')]","[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1cd665d100>, <UAT_app.database.db_models.TableLogs object at 0x7f1cd665dc40>, <UAT_app.database.db_models.TableLogs object at 0x7f1cd665dfa0>]","['27', '27']"
29,,[69],"[[111, 166, 324, 190]]",30,[70],"[[110, 238, 337, 264]]","[UUID('f3ab4b61-2f75-345c-81c4-b0ca41a3e22e'), UUID('ba31ad2f-f34a-3730-b143-811e57ece449')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19], [0, 1, 2, 3, 4, 5, 6]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d4a036be0>, <UAT_app.database.db_models.TableLogs object at 0x7f1d4a036a90>]",['29']
23,,[58],"[[111, 167, 262, 189]]",24,[58],"[[111, 588, 496, 611]]",[UUID('a053bb79-c075-352a-be74-df67a0f48b21')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d4780b0d0>],['23']
10,,[31],"[[111, 238, 554, 263]]",11,[32],"[[111, 166, 415, 190]]",[UUID('f7f86562-8c3e-3be6-a2bb-6c757caa8e82')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d49b21130>],['10']
11,,[32],"[[111, 166, 415, 190]]",12,[33],"[[111, 166, 482, 189]]",[UUID('03a8b7f4-a62e-3a7f-8656-d69cd617680a')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d458609d0>],['11']
