note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
7,,[14],"[[131, 217, 386, 240]]",8,[15],"[[140, 264, 238, 283]]",[UUID('88ab9f02-19ac-3e80-8268-3e40da9851b8')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdc50206af0>],['7']
7,a,[14],"[[118, 863, 284, 885]]",7b,[15],"[[1120, 1645, 1159, 1675]]","[UUID('8aa77c00-4a40-307b-854a-ea311131c8ce'), UUID('d3c85381-dd1d-318d-b659-0de05d00aeb7'), UUID('e8e9424e-6644-3388-a9dc-69764ca3a5f3')]","[[0, 1, 2, 3], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21], [0, 1, 2, 3, 4, 5, 6]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdaf23c21c0>, <UAT_app.database.db_models.TableLogs object at 0x7fdaf23c2c10>, <UAT_app.database.db_models.TableLogs object at 0x7fdaf23c2b80>]",['7a']
6,,[13],"[[147, 236, 351, 261]]",7,[14],"[[131, 217, 386, 240]]","[UUID('d7eebfb6-c69f-3d8e-845e-61f81afb5745'), UUID('71511232-e405-3f90-9b29-e5c7c74fd590')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]","[<UAT_app.database.db_models.TableLogs object at 0x7fda6f0bc880>, <UAT_app.database.db_models.TableLogs object at 0x7fda6f0bc970>]","['6', '6']"
20,,[19],"[[182, 212, 264, 233]]",21,[20],"[[125, 1617, 451, 1638]]","[UUID('246daa86-85ad-3e0f-9f1b-fc561c56e3d3'), UUID('e70d9fff-68eb-3f6d-b006-2ed2d48acf8b')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18], [0, 1, 2, 3, 4]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdc50206160>, <UAT_app.database.db_models.TableLogs object at 0x7fdc50206d30>]",['20']
8,,[15],"[[140, 264, 238, 283]]",9,[15],"[[138, 511, 287, 529]]",[UUID('8aa77c00-4a40-307b-854a-ea311131c8ce')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf23c21c0>],['8']
9,,[15],"[[138, 511, 287, 529]]",10,[15],"[[127, 707, 201, 727]]",[UUID('e8e9424e-6644-3388-a9dc-69764ca3a5f3')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf23c2b80>],['9']
19,,[18],"[[176, 1334, 422, 1354]]",20,[19],"[[182, 212, 264, 233]]",[UUID('715c00d0-9f06-36cd-bfc8-76e6adcd11bc')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6d4ec6d0>],['19']
13,,[15],"[[126, 1150, 357, 1173]]",14,[16],"[[167, 274, 281, 296]]",[UUID('d3c85381-dd1d-318d-b659-0de05d00aeb7')],"[[12, 13, 14, 15, 16, 17, 18, 19, 20, 21]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf23c2c10>],"['13', '13']"
12,,[15],"[[126, 1013, 265, 1035]]",13,[15],"[[126, 1150, 357, 1173]]",[UUID('d3c85381-dd1d-318d-b659-0de05d00aeb7')],"[[8, 9, 10, 11, 12]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf23c2c10>],['12']
14,,[16],"[[167, 274, 281, 296]]",15,[17],"[[132, 227, 268, 250]]",[UUID('d22b736f-b308-38b1-814d-24e253254bc7')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf444a0a0>],['14']
15,,[17],"[[132, 227, 268, 250]]",16,[17],"[[123, 1026, 339, 1048]]",[UUID('fadec9d1-9743-3ac3-a3d5-ea198869b25d')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6e83edc0>],['15']
16,,[17],"[[123, 1026, 339, 1048]]",17,[17],"[[123, 1192, 269, 1214]]",[UUID('1488ba6e-8355-3bbf-8554-1a683738a277')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6e83ea60>],['16']
17,,[17],"[[123, 1192, 269, 1214]]",18,[18],"[[182, 246, 326, 266]]",[UUID('659d1fd5-c6d0-3994-885a-d77c66ddf3f4')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6e83ee20>],['17']
3,,[12],"[[162, 250, 405, 273]]",4,[12],"[[160, 682, 357, 705]]",[UUID('014c867b-4247-33bc-8d32-bf2a020a9c6a')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf2d5e910>],['3']
5,,[12],"[[160, 1025, 350, 1049]]",6,[13],"[[147, 236, 351, 261]]","[UUID('456e2d4a-0415-3ba9-8c39-9c96679bf410'), UUID('71511232-e405-3f90-9b29-e5c7c74fd590')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], [0, 1]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdba84d4b50>, <UAT_app.database.db_models.TableLogs object at 0x7fda6f0bc970>]",['5']
