note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
13.,,[25],"[[78, 844, 387, 870]]",,[25],"[[83, 131, 475, 169]]",[],[],[],"['13.', '13.']"
14.,,[25],"[[78, 987, 406, 1011]]",,[25],"[[83, 131, 475, 169]]",[],[],[],"['14.', '14.']"
15.,,[25],"[[77, 1289, 229, 1315]]",,[25],"[[83, 131, 475, 169]]",[],[],[],['15.']
18.,,[26],"[[78, 1149, 510, 1176]]",,[26],"[[84, 131, 477, 169]]",[],[],[],"['18.', '18.']"
25.,,[30],"[[121, 686, 539, 712]]",,[30],"[[117, 136, 510, 174]]",[],[],[],"['25.', '25.']"
16.,,[26],"[[82, 313, 399, 340]]",,[26],"[[84, 131, 477, 169]]",[],[],[],['16.']
19.,,[27],"[[83, 236, 402, 262]]",,[27],"[[76, 129, 428, 162]]",[],[],[],['19.']
21.,,[28],"[[87, 241, 247, 267]]",,[28],"[[81, 131, 433, 169]]",[],[],[],['21.']
20.,,[27],"[[81, 896, 280, 921]]",,[27],"[[76, 129, 428, 162]]",[],[],[],['20.']
22.,,[28],"[[85, 1015, 1112, 1041]]",,[28],"[[81, 131, 433, 169]]",[],[],[],"['22.', '22.']"
23.,,[29],"[[121, 310, 288, 336]]",,[29],"[[114, 133, 508, 170]]",[],[],[],"['23.', '23.']"
24.,,[30],"[[122, 257, 281, 284]]",,[30],"[[117, 136, 510, 174]]",[],[],[],"['24.', '24.']"
26.,,[30],"[[121, 1028, 377, 1054]]",,[30],"[[117, 136, 510, 174]]",[],[],[],['26.']
8.,,[23],"[[88, 313, 209, 336]]",,[23],"[[84, 129, 479, 167]]",[],[],[],['8.']
9.,,[23],"[[84, 859, 400, 886]]",,[23],"[[84, 129, 479, 167]]",[],[],[],"['9.', '9.']"
10.,,[23],"[[78, 1204, 367, 1230]]",,[23],"[[84, 129, 479, 167]]",[],[],[],['10.']
11.,,[24],"[[83, 312, 315, 340]]",,[24],"[[87, 131, 479, 165]]",[],[],[],['11.']
12.,,[24],"[[82, 745, 256, 772]]",,[24],"[[87, 131, 479, 165]]",[],[],[],"['12.', '12.']"
