note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
27,,[40],"[[134, 629, 408, 657]]",28,[40],"[[136, 970, 359, 994]]",[UUID('71acc643-a702-3ec9-a901-5b61a6f62683')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d4b055f40>],"['27', '27']"
11,,[29],"[[139, 1207, 434, 1231]]",12,[30],"[[118, 217, 247, 240]]","[UUID('2cce9746-6f25-3c86-bee9-366a5d139fc5'), UUID('26e7921f-c657-32fc-82a0-f249a9c90b27')]","[[0, 1, 2, 3, 4], [0, 1, 2]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d483fbca0>, <UAT_app.database.db_models.TableLogs object at 0x7f1d49e80910>]",['11']
26,,[39],"[[120, 794, 414, 818]]",27,[40],"[[134, 629, 408, 657]]","[UUID('f633c571-3c08-3d83-83f1-2d210c04df1c'), UUID('34939e9e-77a4-358d-98c8-ca018a2848af'), UUID('ce60e549-5693-3dc2-906b-de876732d86f'), UUID('6ac92c1d-ec3c-3f5c-a376-02454b4f196d')]","[[0, 1, 2, 3, 4, 5, 6], [0, 1, 2], [0, 1, 2, 3, 4], [0, 1]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d46d81d30>, <UAT_app.database.db_models.TableLogs object at 0x7f1d46d81ca0>, <UAT_app.database.db_models.TableLogs object at 0x7f1d4a0be880>, <UAT_app.database.db_models.TableLogs object at 0x7f1d4a0bea60>]",['26']
12,,[30],"[[118, 217, 247, 240]]",13,[30],"[[118, 680, 418, 707]]",[UUID('26e7921f-c657-32fc-82a0-f249a9c90b27')],"[[2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d49e80910>],"['12', '12']"
13,,[30],"[[118, 680, 418, 707]]",14,[31],"[[119, 223, 309, 251]]","[UUID('5c248626-f874-3174-a6c5-cbfc5b65f20e'), UUID('60819e3d-d499-3eaf-baef-ccfac779a1a1'), UUID('4ea95cb7-aff6-38f0-8886-6e4762f6db56'), UUID('870b8aef-4d01-3d7e-83d3-7dbe3b006190')]","[[0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6], [0, 1, 2, 3, 4, 5, 6], [0, 1, 2]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d460bd7c0>, <UAT_app.database.db_models.TableLogs object at 0x7f1d460bd3d0>, <UAT_app.database.db_models.TableLogs object at 0x7f1d46d81730>, <UAT_app.database.db_models.TableLogs object at 0x7f1d4583eb80>]",['13']
15,,[32],"[[104, 139, 331, 166]]",16,[33],"[[120, 195, 239, 222]]","[UUID('7aa71168-c019-32d5-9f6e-e6b5b1824182'), UUID('b97e3bf8-184b-31ac-8d39-7aa087863a11'), UUID('1b32c4f8-4dc6-3eb6-b254-0863690c7f02')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14], [0, 1, 2, 3, 4, 5], [0, 1, 2]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d42d00250>, <UAT_app.database.db_models.TableLogs object at 0x7f1d42d00c70>, <UAT_app.database.db_models.TableLogs object at 0x7f21eb1b91f0>]",['15']
14,,[31],"[[119, 223, 309, 251]]",15,[32],"[[104, 139, 331, 166]]","[UUID('60930c3a-dc0c-3b1b-992f-4aca7aa587de'), UUID('870b8aef-4d01-3d7e-83d3-7dbe3b006190'), UUID('5efd14f5-d63a-3678-8e5c-712c64f8fd9f')]","[[0, 1, 2, 3, 4, 5], [2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d46d814f0>, <UAT_app.database.db_models.TableLogs object at 0x7f1d4583eb80>, <UAT_app.database.db_models.TableLogs object at 0x7f1d46d81070>]",['14']
16,,[33],"[[120, 195, 239, 222]]",17,[34],"[[118, 136, 259, 162]]",[UUID('1b32c4f8-4dc6-3eb6-b254-0863690c7f02')],"[[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",[<UAT_app.database.db_models.TableLogs object at 0x7f21eb1b91f0>],['16']
8,,[27],"[[111, 881, 358, 907]]",9,[28],"[[1063, 1611, 1088, 1636]]","[UUID('d1dc1947-7c3a-349a-b889-ed065f23b6d8'), UUID('49c2192a-cf1e-3ca0-a530-5fb847182ca9')]","[[0, 1, 2], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d4a0309a0>, <UAT_app.database.db_models.TableLogs object at 0x7f21eb1b9bb0>]","['8', '8']"
20,,[36],"[[117, 215, 375, 243]]",21,[36],"[[117, 564, 240, 585]]",[UUID('0c0e5edf-5880-3d29-9d39-9b9d43bedc04')],"[[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]",[<UAT_app.database.db_models.TableLogs object at 0x7f21eb1b92b0>],['20']
