note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
10,,[25],"[[104, 624, 337, 649]]",11,[26],"[[58, 317, 328, 338]]","[UUID('f902edba-7137-36f0-bf46-6f981abaa1dc'), UUID('5db77443-beb4-324f-94c0-369f4000145e')]","[[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47], [0, 1, 2, 3]]","[<UAT_app.database.db_models.TableLogs object at 0x7f730fb665e0>, <UAT_app.database.db_models.TableLogs object at 0x7f73b28f51c0>]","['10', '10']"
10,a,[25],"[[104, 723, 552, 744]]",10b,[26],"[[601, 1514, 627, 1537]]","[UUID('f902edba-7137-36f0-bf46-6f981abaa1dc'), UUID('4d169269-9263-3c9a-b209-38364e836b8e'), UUID('84efa60d-ae9b-332b-af41-a1ecc5d59873'), UUID('5db77443-beb4-324f-94c0-369f4000145e')]","[[22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]","[<UAT_app.database.db_models.TableLogs object at 0x7f730fb665e0>, <UAT_app.database.db_models.TableLogs object at 0x7f73b6e43e80>, <UAT_app.database.db_models.TableLogs object at 0x7f73b6e43310>, <UAT_app.database.db_models.TableLogs object at 0x7f73b28f51c0>]",['10a']
11,,[26],"[[58, 317, 328, 338]]",12,[26],"[[59, 573, 185, 595]]",[UUID('5db77443-beb4-324f-94c0-369f4000145e')],"[[3, 4, 5, 6, 7, 8, 9, 10]]",[<UAT_app.database.db_models.TableLogs object at 0x7f73b28f51c0>],['11']
12,,[26],"[[59, 573, 185, 595]]",13,[26],"[[59, 711, 270, 734]]",[UUID('4d169269-9263-3c9a-b209-38364e836b8e')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7f73b6e43e80>],['12']
13,,[26],"[[59, 711, 270, 734]]",14,[26],"[[59, 804, 276, 824]]",[UUID('4d169269-9263-3c9a-b209-38364e836b8e')],"[[7, 8, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7f73b6e43e80>],['13']
14,,[26],"[[59, 804, 276, 824]]",15,[26],"[[59, 1102, 317, 1127]]",[UUID('4d169269-9263-3c9a-b209-38364e836b8e')],"[[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]]",[<UAT_app.database.db_models.TableLogs object at 0x7f73b6e43e80>],"['14', '14']"
15,,[26],"[[59, 1102, 317, 1127]]",16,[26],"[[59, 1319, 297, 1344]]",[UUID('84efa60d-ae9b-332b-af41-a1ecc5d59873')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7f73b6e43310>],['15']
16,,[26],"[[59, 1319, 297, 1344]]",17,[27],"[[828, 1121, 860, 1143]]","[UUID('84efa60d-ae9b-332b-af41-a1ecc5d59873'), UUID('6798b6df-179c-36fe-b541-769ce3fb52e6')]","[[7, 4, 5, 6], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]]","[<UAT_app.database.db_models.TableLogs object at 0x7f73b6e43310>, <UAT_app.database.db_models.TableLogs object at 0x7f73b2b75250>]",['16']
18,,[29],"[[103, 210, 212, 230]]",19,[30],"[[585, 1614, 609, 1636]]","[UUID('ae9647a8-8872-3d34-b18d-515dd2832b9b'), UUID('32161580-1911-34ee-a48c-b94f13bd572c')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24], [0, 1, 2, 3, 4, 5, 6, 7, 8]]","[<UAT_app.database.db_models.TableLogs object at 0x7f73138e8c10>, <UAT_app.database.db_models.TableLogs object at 0x7f730eaa31c0>]",['18']
19,,[31],"[[70, 225, 314, 249]]",20,[31],"[[69, 429, 258, 452]]",[UUID('09c21159-a6e4-3aa7-a354-0327080fcccd')],"[[3, 4, 5, 6, 7, 8, 9, 10, 11]]",[<UAT_app.database.db_models.TableLogs object at 0x7f730fb46f10>],['19']
20,,[31],"[[69, 429, 258, 452]]",21,[31],"[[69, 638, 294, 664]]",[UUID('09c21159-a6e4-3aa7-a354-0327080fcccd')],"[[11, 12, 13, 14]]",[<UAT_app.database.db_models.TableLogs object at 0x7f730fb46f10>],['20']
22,,[31],"[[70, 1078, 197, 1103]]",23,[31],"[[69, 1397, 1078, 1419]]",[UUID('9ef0e13c-87bb-351e-b7d2-f7d8341b521d')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7f730fb46bb0>],"['22', '22']"
21,,[31],"[[69, 638, 294, 664]]",22,[31],"[[70, 1078, 197, 1103]]",[UUID('89ed0b34-08bb-3d21-af35-576c41944fec')],"[[0, 1, 2]]",[<UAT_app.database.db_models.TableLogs object at 0x7f73b23f31c0>],['21']
23,,[31],"[[69, 1397, 1078, 1419]]",24,[32],"[[75, 218, 302, 238]]",[UUID('2593a46b-f639-3411-8af0-649b0fef8135')],"[[0, 1, 2]]",[<UAT_app.database.db_models.TableLogs object at 0x7f73b2f28c10>],['23']
24,,[32],"[[75, 218, 302, 238]]",25,[33],"[[585, 1614, 610, 1636]]","[UUID('7b5bfd3e-c637-3849-9c79-0ebceb438b18'), UUID('9b5cd521-7e99-36ee-bc17-2b70d7eec09e')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]]","[<UAT_app.database.db_models.TableLogs object at 0x7f73b31e5eb0>, <UAT_app.database.db_models.TableLogs object at 0x7f7312b66d00>]",['24']
6,,[24],"[[103, 753, 239, 776]]",7,[24],"[[103, 919, 259, 942]]",[UUID('f39d8c37-6a5d-3f08-9b92-8d1e80561ebf')],"[[19, 20, 21, 22, 23, 24, 25]]",[<UAT_app.database.db_models.TableLogs object at 0x7f7310b50cd0>],['6']
