note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
9,,[19],"[[65, 1006, 379, 1032]]",10,[20],"[[65, 210, 390, 236]]",[UUID('fb8e2fe4-ae4f-33c7-9c16-f93d20ff3fde')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1cd7ff5700>],"['9', '9']"
10,,[20],"[[65, 210, 390, 236]]",11,[20],"[[65, 564, 233, 590]]",[UUID('c1f2f3e8-f6bf-34c4-9112-be7f03071fe9')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d4a1ddfd0>],['10']
11,,[20],"[[65, 564, 233, 590]]",12,[20],"[[66, 897, 419, 922]]",[UUID('c1f2f3e8-f6bf-34c4-9112-be7f03071fe9')],"[[9, 10, 11, 12, 13, 14]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d4a1ddfd0>],['11']
12,,[20],"[[66, 897, 419, 922]]",13,[21],"[[65, 210, 190, 236]]","[UUID('0e7ec106-253f-3230-9c87-0b0cd2086326'), UUID('4ab86aad-6dd0-387e-9a0b-275fcfeaa604'), UUID('169e2a06-68d6-38fd-b22b-1cf274c97f5b')]","[[0, 1, 2], [0, 1, 2, 3], [0, 1, 2, 3, 4, 5, 6]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d481ceee0>, <UAT_app.database.db_models.TableLogs object at 0x7f1d481ce790>, <UAT_app.database.db_models.TableLogs object at 0x7f1d481ce5e0>]",['12']
8,,[18],"[[65, 619, 316, 644]]",9,[19],"[[65, 1006, 379, 1032]]","[UUID('ab0f6ea7-6f57-3f32-8553-06d59e076da0'), UUID('4c631ee7-e046-3520-ab7e-2e306b882324'), UUID('111e4fbd-25f5-375e-8ce6-265daf214616')]","[[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d49820e20>, <UAT_app.database.db_models.TableLogs object at 0x7f1d434dbe80>, <UAT_app.database.db_models.TableLogs object at 0x7f1d434db7c0>]","['8', '8']"
14,,[22],"[[66, 638, 368, 664]]",15,[22],"[[66, 993, 302, 1017]]",[UUID('1628e316-e639-372f-a7d8-a00781d04c69')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d49f56fa0>],"['14', '14']"
15,,[22],"[[66, 993, 302, 1017]]",16,[23],"[[65, 210, 225, 236]]",[UUID('9c7b4f4d-0c2d-318b-a2d5-284ea1fe8c3c')],"[[0, 1]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d477df400>],"['15', '15']"
16,,[23],"[[65, 210, 225, 236]]",17,[24],"[[65, 210, 251, 238]]","[UUID('9ab593ce-1aa6-38c7-a92e-bea980cc2249'), UUID('9ec03077-9e14-3821-bd29-5612b85aedf1'), UUID('f184a5b0-c3f8-37e5-a03c-56eba45ea6e1')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d49a29d90>, <UAT_app.database.db_models.TableLogs object at 0x7f1d49528b50>, <UAT_app.database.db_models.TableLogs object at 0x7f1d49a297c0>]","['16', '16']"
17,,[24],"[[65, 210, 251, 238]]",18,[24],"[[66, 1042, 309, 1067]]","[UUID('a07f785b-47f5-3c3c-a7d1-9004d82bddbf'), UUID('a2ed1ebc-1092-3a2e-b09d-f54a1090dd90')]","[[0, 1, 2, 3], [0, 1, 2, 3, 4]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d46e083a0>, <UAT_app.database.db_models.TableLogs object at 0x7f1d47a07550>]",['17']
5,,[17],"[[65, 932, 316, 958]]",6,[17],"[[65, 1254, 274, 1279]]",[UUID('904c77dc-93e1-3ade-94d1-d7eab8993347')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d48b689a0>],['5']
6,,[17],"[[65, 1254, 274, 1279]]",7,[18],"[[63, 212, 290, 235]]",[UUID('904c77dc-93e1-3ade-94d1-d7eab8993347')],"[[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d48b689a0>],['6']
7,,[18],"[[63, 212, 290, 235]]",8,[18],"[[65, 619, 316, 644]]",[UUID('ab0f6ea7-6f57-3f32-8553-06d59e076da0')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d49820e20>],['7']
