note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
8,,[18],"[[52, 175, 260, 203]]",9,[18],"[[54, 368, 345, 393]]",[UUID('5a648c32-9a8f-3e6d-aedd-859223f9e6ee')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7068824f0>],"['8', '8']"
9,,[18],"[[54, 368, 345, 393]]",10,[18],"[[55, 721, 198, 744]]",[UUID('5a648c32-9a8f-3e6d-aedd-859223f9e6ee')],"[[5, 6, 7, 8, 9, 10, 11, 12]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7068824f0>],['9']
10,,[18],"[[55, 721, 198, 744]]",11,[18],"[[55, 1052, 276, 1077]]",[UUID('437a7a68-bbe4-3637-9f17-209df2d4459c')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef744ac8a30>],['10']
12,,[19],"[[54, 361, 146, 388]]",13,[19],"[[54, 552, 381, 580]]",[UUID('492dccb9-5d56-30fd-912c-a8a4460dd104')],"[[6, 7, 8, 9, 10, 11]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef744ac8d30>],['12']
13,,[19],"[[54, 552, 381, 580]]",14,[20],"[[55, 177, 333, 203]]","[UUID('da8cdd8b-dae9-3ec4-9def-ef7d514537b1'), UUID('492dccb9-5d56-30fd-912c-a8a4460dd104')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], [11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef74426fa30>, <UAT_app.database.db_models.TableLogs object at 0x7ef744ac8d30>]","['13', '13']"
11,,[18],"[[55, 1052, 276, 1077]]",12,[19],"[[54, 361, 146, 388]]","[UUID('b7271e6f-d180-3285-9212-e38024fc73e1'), UUID('492dccb9-5d56-30fd-912c-a8a4460dd104')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], [0, 1, 2, 3, 4, 5, 6]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef744ac8a00>, <UAT_app.database.db_models.TableLogs object at 0x7ef744ac8d30>]",['11']
7,,[17],"[[54, 177, 187, 202]]",8,[18],"[[52, 175, 260, 203]]",[UUID('b599d2d8-58bf-3600-b8fc-b1e3c30c6800')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7fb1f63d0>],"['7', '7', '7']"
14,,[20],"[[55, 177, 333, 203]]",15,[20],"[[55, 621, 286, 647]]",[UUID('413f2b54-fc53-32af-b803-450a9b699e79')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef706bc04c0>],['14']
15,,[20],"[[55, 621, 286, 647]]",16,[21],"[[55, 179, 393, 200]]",[UUID('19dc190a-ab80-38f7-9aa7-1aa65674ea49')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef744ac85e0>],"['15', '15']"
16,,[21],"[[55, 179, 393, 200]]",17,[21],"[[55, 646, 267, 670]]",[UUID('7647c293-208f-3beb-8420-f803710f8715')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef74426f7f0>],['16']
