note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
8,,[29],"[[169, 707, 475, 733]]",9,[29],"[[170, 1047, 384, 1070]]",[UUID('07bb8439-8d30-33ef-8f18-94c12d614e32')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d471dd6a0>],"['8', '8']"
9,,[29],"[[170, 1047, 384, 1070]]",10,[30],"[[154, 588, 302, 615]]","[UUID('29515290-6951-308d-96ce-351b18a8b8df'), UUID('df82faf6-21ad-3823-93ff-500696819c69')]","[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4, 5]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d471dde20>, <UAT_app.database.db_models.TableLogs object at 0x7f1d47601850>]",['9']
10,,[30],"[[154, 588, 302, 615]]",11,[30],"[[156, 983, 320, 1009]]",[UUID('8e24abc5-272e-32a1-8a30-eb8c43b93e18')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d476018b0>],['10']
4,,[25],"[[170, 1187, 294, 1212]]",5,[26],"[[156, 1054, 328, 1078]]","[UUID('32ef28fb-7c33-344f-883e-3ec08b0c505a'), UUID('c83fca23-323c-3d9d-98fd-af1113b7a303'), UUID('ef86e683-de47-3b0a-9a5f-d53885de7907')]","[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d4a1488b0>, <UAT_app.database.db_models.TableLogs object at 0x7f1d45bce100>, <UAT_app.database.db_models.TableLogs object at 0x7f1d45bcedc0>]",['4']
12,,[30],"[[158, 1170, 413, 1197]]",13,[31],"[[168, 299, 509, 327]]",[UUID('9611bad3-eeee-3ab3-b739-8cdda2f219e2')],"[[5, 6, 7, 8, 9, 10]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d481c0a00>],['12']
13,,[31],"[[168, 299, 509, 327]]",14,[32],"[[158, 800, 263, 822]]","[UUID('548477c3-9ee7-342c-99fc-aa5f12b92eb9'), UUID('5187958d-ce81-3c7d-9a4a-aad332974785')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d48d58640>, <UAT_app.database.db_models.TableLogs object at 0x7f1d4a148a90>]",['13']
15,,[33],"[[169, 861, 375, 889]]",16,[34],"[[158, 791, 319, 817]]","[UUID('d59cac0b-e1d9-3edb-b389-79695db6638b'), UUID('3f0bb106-2779-3002-9119-c11d203e51b4')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d47601310>, <UAT_app.database.db_models.TableLogs object at 0x7f21eb907c70>]",['15']
16,,[34],"[[158, 791, 319, 817]]",17,[35],"[[591, 1504, 615, 1526]]","[UUID('3f0bb106-2779-3002-9119-c11d203e51b4'), UUID('49e33e73-664c-3304-a4cc-82de9cf22c02')]","[[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]]","[<UAT_app.database.db_models.TableLogs object at 0x7f21eb907c70>, <UAT_app.database.db_models.TableLogs object at 0x7f1d4a114400>]",['16']
17,,[36],"[[155, 537, 447, 564]]",18,[36],"[[160, 1040, 312, 1067]]","[UUID('f0069290-3cf6-3fe0-a208-eb3e3ddb8cde'), UUID('2a1913ee-998a-3332-b8ce-efffb5fac3fb')]","[[0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5]]","[<UAT_app.database.db_models.TableLogs object at 0x7f21eb9077c0>, <UAT_app.database.db_models.TableLogs object at 0x7f21eb907820>]",['17']
18,,[36],"[[160, 1040, 312, 1067]]",19,[37],"[[169, 444, 521, 470]]",[UUID('2a1913ee-998a-3332-b8ce-efffb5fac3fb')],"[[5, 6, 7, 8, 9, 10, 11, 12, 13]]",[<UAT_app.database.db_models.TableLogs object at 0x7f21eb907820>],['18']
19,,[37],"[[169, 444, 521, 470]]",20,[37],"[[168, 749, 496, 777]]",[UUID('50c43b39-b1fb-328e-9a6d-2f0251ca2193')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d45bce130>],['19']
20,,[37],"[[168, 749, 496, 777]]",21,[38],"[[153, 287, 297, 314]]",[UUID('9b56652d-20cb-3d45-be20-df69aa29fb33')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d46b6d9a0>],"['20', '20']"
21,,[38],"[[153, 287, 297, 314]]",22,[38],"[[158, 1203, 382, 1231]]",[UUID('30281bbe-fcac-365c-b253-406a61acbd0a')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d46b6d400>],['21']
22,,[38],"[[158, 1203, 382, 1231]]",23,[39],"[[169, 457, 388, 485]]",[UUID('30281bbe-fcac-365c-b253-406a61acbd0a')],"[[20, 21, 22, 23, 24, 25]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d46b6d400>],['22']
23,,[39],"[[169, 457, 388, 485]]",24,[39],"[[169, 705, 307, 731]]",[UUID('378dac29-56ee-325d-81f2-44c1ca0c3ea7')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d47767820>],['23']
5,,[26],"[[156, 1054, 328, 1078]]",6,[27],"[[169, 305, 303, 332]]",[UUID('09d37ede-bc1c-3214-922e-b0813ffe0851')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d4a148340>],['5']
6,(a),[27],"[[167, 340, 429, 368]]",(b),[27],"[[168, 550, 535, 577]]",[UUID('e619b62f-5e53-3035-8ae2-b74cfc4587ca')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d481c0940>],['6(a)']
6,(b),[27],"[[168, 550, 535, 577]]",(c),[28],"[[153, 323, 319, 351]]",[UUID('e619b62f-5e53-3035-8ae2-b74cfc4587ca')],"[[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d481c0940>],['6(b)']
6,(c),[28],"[[153, 323, 319, 351]]",(d),[28],"[[156, 832, 309, 858]]",[UUID('d116425f-c3d4-3479-ae1e-b4bc811cb648')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d4a1144f0>],['6(c)']
6,(d),[28],"[[156, 832, 309, 858]]",(e),[29],"[[591, 1503, 617, 1524]]","[UUID('cf4b0adb-e359-32f1-9f7c-a103bba2c29f'), UUID('68dafd81-b8f1-3357-b64f-1d999a7a4d7a'), UUID('29515290-6951-308d-96ce-351b18a8b8df'), UUID('07bb8439-8d30-33ef-8f18-94c12d614e32'), UUID('18259631-dd59-347d-b195-4f0e4035bf6b')]","[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4, 5, 6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]","[<UAT_app.database.db_models.TableLogs object at 0x7f21eb1b91c0>, <UAT_app.database.db_models.TableLogs object at 0x7f1d46e02f40>, <UAT_app.database.db_models.TableLogs object at 0x7f1d471dde20>, <UAT_app.database.db_models.TableLogs object at 0x7f1d471dd6a0>, <UAT_app.database.db_models.TableLogs object at 0x7f1d46b6d730>]",['6(d)']
