note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
5,,[18],"[[142, 728, 461, 753]]",6,[18],"[[142, 880, 539, 906]]",[UUID('357483d0-5499-309c-9cc5-3c2e0003125b')],"[[12, 13, 14, 15, 16]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef744d16d30>],"['5', '5']"
6,,[18],"[[142, 880, 539, 906]]",7,[18],"[[141, 1027, 394, 1050]]",[UUID('357483d0-5499-309c-9cc5-3c2e0003125b')],"[[16, 17, 18, 19, 20]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef744d16d30>],['6']
7,,[18],"[[141, 1027, 394, 1050]]",8,[19],"[[141, 266, 497, 292]]",[UUID('357483d0-5499-309c-9cc5-3c2e0003125b')],"[[20, 21, 22, 23, 24, 25]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef744d16d30>],['7']
8,,[19],"[[141, 266, 497, 292]]",9,[19],"[[141, 778, 253, 802]]",[UUID('c86d56d0-79a1-3976-a7a6-9f6599e8b10d')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef744aa41f0>],['8']
9,,[19],"[[141, 778, 253, 802]]",10,[20],"[[142, 822, 357, 849]]","[UUID('d42665be-a1ee-3d36-8558-5c74cc717a3e'), UUID('b310ba51-7821-3758-8539-6f5e72bd9b70'), UUID('d76ce5f1-9bef-3974-88ed-934a52a0705d')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], [0, 1, 2, 3], [0, 1, 2, 3, 4, 5]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef744b29bb0>, <UAT_app.database.db_models.TableLogs object at 0x7ef744b299a0>, <UAT_app.database.db_models.TableLogs object at 0x7ef744b299d0>]","['9', '9', '9']"
10,,[20],"[[142, 822, 357, 849]]",11,[20],"[[141, 1324, 441, 1350]]",[UUID('3d3f6309-6f9b-3c5d-9ffa-4cdbe9c432b1')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef744b297c0>],['10']
11,,[20],"[[141, 1324, 441, 1350]]",12,[21],"[[142, 266, 444, 292]]",[],[],[],['11']
12,,[21],"[[142, 266, 444, 292]]",13,[21],"[[142, 663, 301, 689]]","[UUID('cb166200-7648-3201-a70e-4a08c1e78d2a'), UUID('8072ef9e-08e9-3669-99d4-74a46044fdfb')]","[[0, 1, 2, 3, 4, 5], [0, 1, 2]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef744d16f40>, <UAT_app.database.db_models.TableLogs object at 0x7ef74080bbe0>]",['12']
13,,[21],"[[142, 663, 301, 689]]",14,[21],"[[141, 1158, 484, 1186]]",[UUID('8072ef9e-08e9-3669-99d4-74a46044fdfb')],"[[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef74080bbe0>],['13']
14,,[21],"[[141, 1158, 484, 1186]]",15,[22],"[[142, 416, 376, 445]]",[UUID('851a3430-223f-3eff-831f-6a29960143bb')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef740335fd0>],['14']
15,,[22],"[[142, 416, 376, 445]]",16,[22],"[[141, 832, 284, 858]]",[UUID('0975ece2-9332-3b9c-aa05-41ba0423d68a')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef742708970>],['15']
2,,[17],"[[141, 1017, 366, 1042]]",3,[17],"[[141, 1205, 326, 1229]]",[UUID('5ec30e8b-071f-3d87-979a-9ecd47c53d36')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef740c6c940>],['2']
