note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
11,,[21],"[[109, 358, 384, 383]]",12,[21],"[[108, 626, 248, 649]]",[UUID('62e3a4ea-283a-3685-bb92-9220928dc188')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba84c9be0>],"['11', '11']"
3,,[16],"[[109, 366, 396, 391]]",4,[16],"[[110, 889, 246, 912]]",[UUID('798f6a10-3936-31ae-bd39-d90fca23540a')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf2bedf10>],['3']
4,,[16],"[[110, 889, 246, 912]]",5,[17],"[[109, 256, 416, 282]]",[UUID('5e27b872-b8ff-3ef0-8a27-2caf632484bb')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba9af5880>],['4']
9,,[19],"[[105, 1258, 461, 1279]]",10,[20],"[[113, 975, 244, 996]]",[UUID('b1f3480b-9d23-3a4e-b0ec-4360a5e6ca6a')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba9af5670>],"['9', '9', '9']"
5,,[17],"[[109, 256, 416, 282]]",6,[18],"[[110, 577, 297, 600]]","[UUID('a7b4a9cb-d501-3a3c-9e86-acbaad112a33'), UUID('ecde8be1-2611-3940-ac8e-4d13ac1a0e72')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18], [0, 1, 2, 3, 4, 5, 6]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdba9af5160>, <UAT_app.database.db_models.TableLogs object at 0x7fdaf2bede50>]",['5']
6,,[18],"[[110, 577, 297, 600]]",7,[19],"[[108, 258, 454, 282]]",[UUID('30f3d022-b871-345a-879c-e6fbd5edb404')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf2a4cb80>],['6']
8,,[19],"[[106, 881, 370, 904]]",9,[19],"[[105, 1258, 461, 1279]]",[UUID('53b928f4-da16-32b2-8bb2-d98b59992d8b')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba9d7b580>],['8']
12,,[21],"[[108, 626, 248, 649]]",13,[22],"[[110, 264, 334, 286]]","[UUID('cc1b7c62-1261-3ee9-ae5e-edcfd6c66235'), UUID('21094891-cf6c-346b-be36-aa4f5fa77c14')]","[[0, 1, 2, 3, 4, 5, 6], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]","[<UAT_app.database.db_models.TableLogs object at 0x7fda6d4eb4f0>, <UAT_app.database.db_models.TableLogs object at 0x7fda6d4eb940>]","['12', '12']"
10,,[20],"[[113, 975, 244, 996]]",11,[21],"[[109, 358, 384, 383]]",[UUID('d462ca49-334c-31fc-8be7-46fd5d804d51')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdf962dfaf0>],"['10', '10']"
13,,[22],"[[110, 264, 334, 286]]",14,[23],"[[110, 365, 345, 386]]",[UUID('74c80471-b0ea-3511-8971-f89a023307d2')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf5e4d3a0>],"['13', '13']"
,,[14],"[[110, 302, 1012, 346]]",,[14],"[[87, 29, 689, 60]]",[],[],[],['Other expenses 1(b)']
