note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
6,,[24],"[[137, 769, 449, 794]]",7,[24],"[[137, 986, 459, 1009]]",[UUID('8fce785b-0904-3e2e-8291-94dfb853595a')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef742643eb0>],"['6', '6']"
7,,[24],"[[137, 986, 459, 1009]]",8,[25],"[[137, 659, 304, 682]]","[UUID('eef82ef1-fa86-36b0-8a04-26202dae1cb8'), UUID('40c6643b-3761-3d1b-ab9b-52bafed90f4b')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8], [0, 1, 2, 3, 4, 5, 6, 7]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef744d4bd90>, <UAT_app.database.db_models.TableLogs object at 0x7ef7426439a0>]",['7']
8,,[25],"[[137, 659, 304, 682]]",9,[25],"[[137, 1225, 396, 1249]]",[UUID('691d439a-1edc-3408-959c-b895812e067f')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef744d4bf10>],"['8', '8']"
9,,[25],"[[137, 1225, 396, 1249]]",10,[26],"[[137, 327, 485, 355]]",[UUID('691d439a-1edc-3408-959c-b895812e067f')],"[[20, 21, 22, 23, 24]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef744d4bf10>],['9']
10,,[26],"[[137, 327, 485, 355]]",11,[27],"[[137, 327, 246, 353]]",[UUID('29b657e3-7322-39b0-8857-2b52ebf7383e')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7459f28e0>],"['10', '10']"
12,,[28],"[[137, 647, 433, 675]]",13,[28],"[[137, 1225, 360, 1251]]","[UUID('53b7a091-1726-3fc1-a52f-ff9f5a12b148'), UUID('5087d702-da8e-3e1f-a80a-5a87353ed550')]","[[0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef741803310>, <UAT_app.database.db_models.TableLogs object at 0x7ef741803250>]",['12']
13,,[28],"[[137, 1225, 360, 1251]]",14,[29],"[[137, 569, 471, 595]]",[UUID('d16dfec3-3579-33f9-a8d3-9ab1913a1f41')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef744e88430>],['13']
11,,[27],"[[137, 327, 246, 353]]",12,[28],"[[137, 647, 433, 675]]","[UUID('d1ceac72-5849-3392-8a18-07099bcb8436'), UUID('39e19262-2b95-331f-ad87-8864d39be6f9'), UUID('bda7902f-b9c2-3c9c-a230-80b88850d463')]","[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4], [0, 1, 2, 3]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef7423ec460>, <UAT_app.database.db_models.TableLogs object at 0x7ef7423ec910>, <UAT_app.database.db_models.TableLogs object at 0x7ef7423ecaf0>]","['11', '11', '11']"
14,,[29],"[[137, 569, 471, 595]]",15,[29],"[[137, 1220, 284, 1246]]",[UUID('bb1789ed-37c6-3326-b824-e625072d1a13')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7418a6760>],"['14', '14']"
15,,[29],"[[137, 1220, 284, 1246]]",16,[30],"[[137, 832, 365, 860]]","[UUID('09076965-a5ea-3c25-bb6c-54446c901861'), UUID('cda4016f-29f7-31aa-ac9f-d2297807fdb9')]","[[0, 1, 2], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef7418a6c10>, <UAT_app.database.db_models.TableLogs object at 0x7ef7418a6b80>]",['15']
