note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
7,,[22],"[[190, 779, 508, 807]]",8,[22],"[[191, 1210, 1093, 1236]]",[UUID('4f7f9c84-7aae-3f0a-8d76-b4cc1462551c')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fce20ee56d0>],['7']
8,,[22],"[[191, 1210, 1093, 1236]]",9,[23],"[[190, 182, 644, 210]]",[],[],[],['8']
9,,[23],"[[190, 182, 644, 210]]",10,[23],"[[190, 476, 600, 504]]",[UUID('8ba3fadf-e2b0-342c-8f8d-b6b6173e7053')],"[[0, 1, 2, 3, 4, 5, 6]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fce28070be0>],['9']
10,,[23],"[[190, 476, 600, 504]]",11,[24],"[[188, 210, 503, 236]]",[UUID('8ba3fadf-e2b0-342c-8f8d-b6b6173e7053')],"[[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fce28070be0>],['10']
11,,[24],"[[188, 210, 503, 236]]",12,[24],"[[187, 516, 772, 542]]",[UUID('a2a15f56-df38-30b4-b726-c1631a55f1fe')],"[[0, 1, 2, 3, 4, 5, 6]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fce29080f10>],['11']
12,,[24],"[[187, 516, 772, 542]]",13,[24],"[[187, 687, 596, 713]]",[UUID('a2a15f56-df38-30b4-b726-c1631a55f1fe')],"[[7, 8, 9, 6]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fce29080f10>],['12']
13,,[24],"[[187, 687, 596, 713]]",14,[24],"[[187, 1114, 457, 1142]]",[UUID('a2a15f56-df38-30b4-b726-c1631a55f1fe')],"[[9, 10, 11, 12, 13, 14, 15, 16, 17]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fce29080f10>],['13']
14,,[24],"[[187, 1114, 457, 1142]]",15,[25],"[[188, 210, 722, 236]]",[UUID('a2a15f56-df38-30b4-b726-c1631a55f1fe')],"[[17, 18, 19, 20]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fce29080f10>],['14']
15,,[25],"[[188, 210, 722, 236]]",16,[25],"[[187, 876, 478, 902]]","[UUID('b8a8e5b8-d7a6-33ba-ab39-b80870c60960'), UUID('dd5e67e1-9037-379e-b224-1a3432f0214f')]","[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5, 6, 7]]","[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fce08e8c400>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fce08e8c220>]",['15']
16,,[25],"[[187, 876, 478, 902]]",17,[25],"[[187, 1256, 415, 1284]]",[UUID('0abe9741-1b09-367f-b7f7-1072ad34120f')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fce08e9a9a0>],"['16', '16']"
17,,[25],"[[187, 1256, 415, 1284]]",18,[26],"[[187, 292, 525, 320]]",[UUID('0abe9741-1b09-367f-b7f7-1072ad34120f')],"[[9, 10, 11, 12]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fce08e9a9a0>],['17']
