note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
8,,[21],"[[153, 1134, 964, 1160]]",9,[22],"[[159, 307, 967, 331]]","[UUID('7140798d-0230-360c-a815-fa91494cd3e4'), UUID('023c5a6b-8416-30c0-9734-4bc84b70b4b3')]","[[0, 1, 2, 3], [0, 1, 2]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1f984151f0>, <UAT_app.database.db_models.TableLogs object at 0x7f1f984151c0>]","['8', '8']"
9,,[22],"[[159, 307, 967, 331]]",10,[22],"[[154, 953, 468, 979]]",[UUID('d0563042-5d41-3448-a910-e42b7c7a26be')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7f21eba18730>],['9']
10,,[22],"[[154, 953, 468, 979]]",11,[23],"[[158, 285, 524, 312]]",[UUID('c088e05c-edf3-3871-896d-7e79d7dedf62')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d4b012ca0>],['10']
11,,[23],"[[158, 285, 524, 312]]",12,[24],"[[159, 295, 736, 323]]","[UUID('615447ba-8fa5-30fe-aff8-d150b667e08a'), UUID('6a2274c0-d736-35c1-8fc4-4698fd25bcc7')]","[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d45556eb0>, <UAT_app.database.db_models.TableLogs object at 0x7f1d4a26f430>]","['11', '11']"
12,,[24],"[[159, 295, 736, 323]]",13,[25],"[[155, 305, 617, 335]]",[UUID('dcdee15a-e929-369d-ac9c-fdd9717185c9')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d471ff940>],['12']
13,,[25],"[[155, 305, 617, 335]]",14,[25],"[[153, 803, 611, 829]]",[UUID('4729054f-e88e-3b20-9f47-2c0c98578535')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d471ff8e0>],['13']
14,,[25],"[[153, 803, 611, 829]]",15,[26],"[[155, 723, 655, 749]]","[UUID('d9dada6e-5f2e-39cd-8429-10253d39054b'), UUID('7432caef-3801-354a-8f36-2e182520dfd0')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19], [0, 1, 2, 3, 4, 5, 6, 7, 8]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d471ff100>, <UAT_app.database.db_models.TableLogs object at 0x7f1d4a1ccd00>]",['14']
15,,[26],"[[155, 723, 655, 749]]",16,[26],"[[154, 949, 679, 976]]",[UUID('a140c7c2-7f0d-30a0-a54a-6a77fa5485a5')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d4a1ccac0>],['15']
17,,[27],"[[158, 341, 355, 368]]",18,[27],"[[146, 772, 382, 803]]",[UUID('20b9810e-294c-3173-96c7-13cd7baab95b')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d438ab520>],"['17', '17']"
18,,[27],"[[146, 772, 382, 803]]",19,[28],"[[158, 281, 503, 308]]",[UUID('006e3ae7-922b-3fb1-b130-9393e5472561')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7f201825a910>],['18']
19,(b),[28],"[[155, 708, 325, 734]]",(c),[28],"[[144, 1023, 507, 1051]]",[UUID('471c8868-ce93-3001-bfa9-c4c055d3e77a')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d438abb80>],['19(b)']
4,,[20],"[[159, 254, 886, 279]]",5,[20],"[[157, 693, 886, 718]]",[UUID('385a7661-2c0b-38a3-be4b-5a4efbbd987e')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d476a5d00>],['4']
5,,[20],"[[157, 693, 886, 718]]",6,[20],"[[157, 877, 886, 907]]",[UUID('385a7661-2c0b-38a3-be4b-5a4efbbd987e')],"[[13, 14, 15, 16, 17, 18]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d476a5d00>],['5']
7,,[21],"[[157, 307, 390, 335]]",8,[21],"[[153, 1134, 964, 1160]]","[UUID('f25703a5-e08f-38f7-90ab-9a10db811007'), UUID('09b690f4-c0f1-364a-af64-c01855d6069d')]","[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d47add1c0>, <UAT_app.database.db_models.TableLogs object at 0x7f1d47add730>]",['7']
