note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
7,,[23],"[[175, 400, 421, 423]]",8,[23],"[[176, 552, 429, 572]]",[UUID('a1b15f94-e9f5-317d-ace2-30ad6c574e85')],"[[7, 8, 9, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdf91bf2ee0>],['7']
8,,[23],"[[176, 552, 429, 572]]",9,[23],"[[175, 1191, 381, 1211]]",[UUID('a1b15f94-e9f5-317d-ace2-30ad6c574e85')],"[[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdf91bf2ee0>],"['8', '8']"
9,,[23],"[[175, 1191, 381, 1211]]",10,[24],"[[178, 136, 304, 156]]",[UUID('a1b15f94-e9f5-317d-ace2-30ad6c574e85')],"[[31, 32, 33, 34, 29, 30]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdf91bf2ee0>],['9']
10,,[24],"[[178, 136, 304, 156]]",11,[24],"[[178, 389, 380, 408]]",[UUID('b5c0106f-d616-3d10-b166-3760dee6eb04')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf6748a00>],['10']
11,,[24],"[[178, 389, 380, 408]]",12,[24],"[[178, 595, 459, 618]]",[UUID('b5c0106f-d616-3d10-b166-3760dee6eb04')],"[[7, 8, 9, 10, 11, 12, 13, 14]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf6748a00>],['11']
12,,[24],"[[178, 595, 459, 618]]",13,[25],"[[178, 136, 271, 156]]",[UUID('b5c0106f-d616-3d10-b166-3760dee6eb04')],"[[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf6748a00>],['12']
14,,[26],"[[178, 134, 419, 159]]",15,[26],"[[178, 391, 308, 413]]",[UUID('712508b0-b8c6-314e-97fb-1ad1f5ac398f')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdf4610f0d0>],['14']
15,,[26],"[[178, 391, 308, 413]]",16,[26],"[[178, 597, 301, 617]]",[UUID('712508b0-b8c6-314e-97fb-1ad1f5ac398f')],"[[6, 7, 8, 9, 10]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdf4610f0d0>],['15']
17,,[26],"[[178, 887, 339, 908]]",18,[26],"[[178, 1076, 409, 1096]]",[UUID('712508b0-b8c6-314e-97fb-1ad1f5ac398f')],"[[18, 19, 20, 21, 22, 23]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdf4610f0d0>],"['17', '17']"
16,,[26],"[[178, 597, 301, 617]]",17,[26],"[[178, 887, 339, 908]]",[UUID('712508b0-b8c6-314e-97fb-1ad1f5ac398f')],"[[11, 12, 13, 14, 15, 16, 17]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdf4610f0d0>],"['16', '16']"
18,,[26],"[[178, 1076, 409, 1096]]",19,[27],"[[178, 136, 327, 159]]",[UUID('712508b0-b8c6-314e-97fb-1ad1f5ac398f')],"[[24, 25, 26, 27, 28]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdf4610f0d0>],['18']
19,,[27],"[[178, 136, 327, 159]]",20,[27],"[[178, 518, 378, 538]]",[UUID('086436dc-a686-337c-aba6-d97e1ef32fbc')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdbaa1b8520>],['19']
20,,[27],"[[178, 518, 378, 538]]",21,[28],"[[176, 136, 479, 156]]",[UUID('8adf5ad8-96d0-3bfc-add7-64cad4607a79')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdbaa1b8f70>],['20']
4,,[22],"[[175, 136, 276, 156]]",5,[22],"[[176, 411, 347, 434]]",[UUID('def9ed0b-9d11-38c4-a7ee-3defcf84bd02')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba9a43580>],['4']
5,,[22],"[[176, 411, 347, 434]]",6,[22],"[[176, 734, 313, 756]]",[UUID('57d71a8f-856c-35f2-80c8-fbaadd9b0f14')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdf963d6220>],"['5', '5']"
21,(b),[28],"[[176, 409, 843, 434]]",(c),[29],"[[610, 1463, 633, 1483]]","[UUID('1e4a475f-0f33-3f4b-892e-dad1f3429cca'), UUID('ebdee171-4277-3371-9698-32b2ccbcf852'), UUID('492ce356-6917-38a2-b6d4-9a7ffd1311bc'), UUID('8287e7db-7a8b-3601-9ddb-c1a1ab5eaed9')]","[[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14], [0, 1, 2, 3]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdcf0034850>, <UAT_app.database.db_models.TableLogs object at 0x7fdba9a438e0>, <UAT_app.database.db_models.TableLogs object at 0x7fdba9a43af0>, <UAT_app.database.db_models.TableLogs object at 0x7fdba9a43700>]",['21(b)']
