note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
16,,[35],"[[83, 388, 407, 414]]",17,[35],"[[84, 691, 268, 715]]",[UUID('6b712c67-21b1-31f3-8c35-90e356e493be')],"[[0, 1]]",[<UAT_app.database.db_models.TableLogs object at 0x7f792f8a21f0>],"['16', '16']"
7,,[31],"[[82, 185, 408, 210]]",8,[31],"[[82, 692, 251, 715]]",[UUID('206425cd-bfd1-38d3-bdf6-f5767d5b9133')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",[<UAT_app.database.db_models.TableLogs object at 0x7f7dadf8ca30>],['7']
8,,[31],"[[82, 692, 251, 715]]",9,[31],"[[82, 1048, 309, 1072]]",[UUID('f496a49a-4fc6-39ad-bbc9-e7a4ec833225')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7f7da34a83a0>],['8']
22,,[39],"[[82, 309, 380, 338]]",23,[40],"[[82, 184, 365, 210]]","[UUID('30c66869-acb0-3b77-bfb0-206a33c4dc70'), UUID('f75d223b-b82c-3e6c-bb16-86476338c1b5'), UUID('b333c012-f845-36ad-b4a5-df93e3153095')]","[[0, 1, 2], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3]]","[<UAT_app.database.db_models.TableLogs object at 0x7f7dac9fddc0>, <UAT_app.database.db_models.TableLogs object at 0x7f7dac9fdf10>, <UAT_app.database.db_models.TableLogs object at 0x7f7dac9fd4c0>]",['22']
18,,[36],"[[82, 258, 379, 284]]",19,[37],"[[82, 184, 288, 210]]",[UUID('520175ec-d55d-3069-a0a2-588c01d7b373')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]]",[<UAT_app.database.db_models.TableLogs object at 0x7f7a94142880>],"['18', '18']"
9,,[31],"[[82, 1048, 309, 1072]]",10,[32],"[[82, 184, 434, 212]]",[UUID('dd3e5e77-c374-3993-8bd8-e76dde4fa144')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7f7dad1df190>],['9']
10,,[32],"[[82, 184, 434, 212]]",11,[33],"[[82, 184, 244, 210]]","[UUID('aa4d72fe-5b6e-3f48-929e-86ea4bd67448'), UUID('fa997ae9-7939-3ba1-a052-6aa4543f220d')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], [0, 1, 2, 3]]","[<UAT_app.database.db_models.TableLogs object at 0x7f792e2f4520>, <UAT_app.database.db_models.TableLogs object at 0x7f792b066f40>]",['10']
20,,[38],"[[82, 184, 336, 210]]",21,[39],"[[82, 208, 275, 235]]",[UUID('eb31899b-7a6f-336b-8cd2-e7db422ee421')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]]",[<UAT_app.database.db_models.TableLogs object at 0x7f7930435b50>],['20']
11,,[33],"[[82, 184, 244, 210]]",12,[33],"[[82, 1217, 401, 1245]]","[UUID('d44dd97f-7a53-358c-a650-1319c1ac16c5'), UUID('5834ddcb-3160-3720-8229-41e11c476b3f')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], [0, 1, 2, 3, 4]]","[<UAT_app.database.db_models.TableLogs object at 0x7f7b0c6aa6d0>, <UAT_app.database.db_models.TableLogs object at 0x7f7dac7131c0>]",['11']
6,,[29],"[[93, 858, 245, 881]]",7,[30],"[[151, 891, 1025, 916]]","[UUID('ad5bb016-1016-3a8d-8082-f6534d699948'), UUID('210f8146-a869-3c76-98c5-5be501458ec6'), UUID('cc9e3a6a-bbac-397b-8152-9e58c884a204')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], [0, 1, 2, 3, 4, 5, 6, 7]]","[<UAT_app.database.db_models.TableLogs object at 0x7f7dac31d4c0>, <UAT_app.database.db_models.TableLogs object at 0x7f7dae054f40>, <UAT_app.database.db_models.TableLogs object at 0x7f7dae0544c0>]","['6', '6']"
12,,[33],"[[82, 1217, 401, 1245]]",13,[33],"[[152, 1421, 1023, 1444]]",[UUID('b4df41f4-345c-37c4-9e1f-48693badf11c')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7f7da3f6be50>],['12']
19,,[37],"[[82, 184, 288, 210]]",20,[38],"[[82, 184, 336, 210]]","[UUID('3cd62f15-88c2-3bbf-98a1-f47dca0a178e'), UUID('4ece935b-d69d-3ef0-9c00-23fbe66fe88d')]","[[0, 1, 2], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]","[<UAT_app.database.db_models.TableLogs object at 0x7f792a074e50>, <UAT_app.database.db_models.TableLogs object at 0x7f792a0743a0>]","['19', '19', '19', '19']"
13,,[34],"[[83, 184, 258, 210]]",14,[34],"[[82, 877, 287, 905]]",[UUID('9cd08bdd-f59b-39bb-bdf9-c71e03d2a150')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]",[<UAT_app.database.db_models.TableLogs object at 0x7f792a074190>],"['13', '13']"
