note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
7,,[22],"[[141, 307, 459, 333]]",8,[22],"[[140, 600, 467, 628]]",[UUID('a9417f1f-4b60-309e-b057-e4ac46c30ff6')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba9c05610>],"['7', '7']"
8,,[22],"[[140, 600, 467, 628]]",9,[22],"[[141, 1129, 310, 1152]]",[UUID('a01b1a5a-5744-30d5-b3aa-6e06a63a6f30')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf4361e80>],"['8', '8']"
9,,[22],"[[141, 1129, 310, 1152]]",10,[23],"[[143, 307, 575, 332]]",[UUID('55806b58-8995-3adc-bb36-d39052d434f7')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdf91b8a820>],['9']
10,1,[23],"[[143, 346, 357, 366]]",10.2,[23],"[[144, 784, 380, 804]]",[UUID('8a80c06f-4547-36f2-b87a-3fda661b22c9')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba85408b0>],['10.1']
11,,[24],"[[143, 937, 400, 963]]",12,[25],"[[143, 309, 269, 330]]",[UUID('4d5fb066-bc2a-3587-be65-c3bb9e61c4be')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdf91b8a100>],['11']
13,,[25],"[[143, 955, 444, 980]]",14,[26],"[[143, 307, 567, 333]]",[UUID('ae748684-9f22-3d5c-82a6-be6b3800318a')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf2c05ca0>],['13']
15,,[26],"[[143, 797, 303, 818]]",16,[27],"[[143, 307, 464, 333]]","[UUID('3190e85b-6871-3686-a320-12004a07a28f'), UUID('336de141-f444-3c4a-b2e2-64360bbb97dd')]","[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4]]","[<UAT_app.database.db_models.TableLogs object at 0x7fde74092280>, <UAT_app.database.db_models.TableLogs object at 0x7fde74092be0>]",['15']
6,,[20],"[[141, 1096, 308, 1119]]",7,[21],"[[1029, 1524, 1051, 1544]]","[UUID('2324d0f4-585f-3acc-b732-38fb3a31a6cd'), UUID('54f00e7a-42c3-3387-b9ba-2b91dd6b22ed'), UUID('3effa596-5751-3087-9c7d-0864573eb0ee'), UUID('1637b89b-02ae-3b3b-83c7-69cd1717c7df')]","[[0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7, 8], [0, 1, 2, 3, 4, 5, 6], [0, 1, 2, 3, 4, 5, 6]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdf962ad6d0>, <UAT_app.database.db_models.TableLogs object at 0x7fdaf4345310>, <UAT_app.database.db_models.TableLogs object at 0x7fde8c4b76d0>, <UAT_app.database.db_models.TableLogs object at 0x7fde8c4b7c10>]","['6', '6']"
16,,[27],"[[143, 307, 464, 333]]",17,[27],"[[143, 1111, 683, 1138]]","[UUID('20322210-cf77-3217-a765-5f49b0bc0814'), UUID('4396f8c2-5667-36fd-a373-836418559e1e'), UUID('de91183b-07d8-38e6-a093-606ee0df7eda')]","[[0, 1, 2, 3, 4, 5, 6], [0, 1, 2], [0, 1, 2, 3]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdc901aeeb0>, <UAT_app.database.db_models.TableLogs object at 0x7fdc901ae550>, <UAT_app.database.db_models.TableLogs object at 0x7fdc901ae580>]","['16', '16', '16']"
4,,[19],"[[140, 309, 583, 330]]",5,[19],"[[141, 912, 295, 937]]",[UUID('cbbda8c6-e005-37b7-9d82-3d457342d953')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdbaa249730>],['4']
5,1,[19],"[[141, 947, 464, 975]]",5.2,[19],"[[143, 1175, 409, 1200]]",[UUID('6a587e7c-1d73-38b9-9235-16fac28e38f7')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6dcbf700>],['5.1']
5,2,[19],"[[143, 1175, 409, 1200]]",5.3,[20],"[[141, 343, 352, 370]]","[UUID('c9cd3b2b-eca4-3994-b4e8-7077de63b9fb'), UUID('7a73b3b8-1b31-3580-b80d-641342258e38')]","[[0, 1, 2, 3, 4, 5, 6], [0, 1]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdba8dd1100>, <UAT_app.database.db_models.TableLogs object at 0x7fdba8dd1700>]",['5.2']
5,3,[20],"[[141, 343, 352, 370]]",5.4,[20],"[[143, 674, 337, 698]]",[UUID('7a73b3b8-1b31-3580-b80d-641342258e38')],"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba8dd1700>],['5.3']
5,4,[20],"[[143, 674, 337, 698]]",5.5,[20],"[[141, 878, 353, 904]]",[UUID('7a73b3b8-1b31-3580-b80d-641342258e38')],"[[14, 15, 16, 17, 18, 19, 20, 21]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba8dd1700>],['5.4']
5,5,[20],"[[141, 878, 353, 904]]",5.6,[21],"[[1029, 1524, 1051, 1544]]","[UUID('2324d0f4-585f-3acc-b732-38fb3a31a6cd'), UUID('7a73b3b8-1b31-3580-b80d-641342258e38'), UUID('54f00e7a-42c3-3387-b9ba-2b91dd6b22ed'), UUID('3effa596-5751-3087-9c7d-0864573eb0ee'), UUID('1637b89b-02ae-3b3b-83c7-69cd1717c7df')]","[[0, 1, 2, 3, 4, 5, 6, 7], [21, 22, 23, 24, 25, 26, 27], [0, 1, 2, 3, 4, 5, 6, 7, 8], [0, 1, 2, 3, 4, 5, 6], [0, 1, 2, 3, 4, 5, 6]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdf962ad6d0>, <UAT_app.database.db_models.TableLogs object at 0x7fdba8dd1700>, <UAT_app.database.db_models.TableLogs object at 0x7fdaf4345310>, <UAT_app.database.db_models.TableLogs object at 0x7fde8c4b76d0>, <UAT_app.database.db_models.TableLogs object at 0x7fde8c4b7c10>]",['5.5']
18,,[28],"[[141, 585, 482, 611]]",19,[28],"[[141, 772, 446, 800]]",[UUID('a7e0f741-1360-3083-a282-09c3059f14a8')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba8dd1a90>],['18']
