note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
8,,[22],"[[82, 803, 381, 827]]",9,[22],"[[83, 1021, 394, 1046]]",[UUID('6dc506d4-3e2b-3feb-9f0b-a44e0aeba3c0')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7f9003542d30>],['8']
9,,[22],"[[83, 1021, 394, 1046]]",10,[23],"[[88, 238, 246, 264]]",[UUID('6dc506d4-3e2b-3feb-9f0b-a44e0aeba3c0')],"[[6, 7, 8, 9, 10, 11, 12]]",[<UAT_app.database.db_models.TableLogs object at 0x7f9003542d30>],['9']
10,,[23],"[[88, 238, 246, 264]]",11,[23],"[[87, 794, 257, 816]]",[UUID('2e2d00db-a1c1-3976-a9f1-e23aa11fc63f')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]]",[<UAT_app.database.db_models.TableLogs object at 0x7f90035491f0>],['10']
11,,[23],"[[87, 794, 257, 816]]",12,[24],"[[80, 236, 417, 261]]",[UUID('3e43b760-a386-33bc-8d6e-66685868b338')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7f900356d430>],['11']
12,,[24],"[[80, 236, 417, 261]]",13,[24],"[[84, 921, 201, 942]]",[UUID('477684b2-21d3-39c8-baf8-443309aed00c')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]",[<UAT_app.database.db_models.TableLogs object at 0x7f900356d640>],['12']
14,,[26],"[[81, 233, 292, 258]]",15,[26],"[[83, 1041, 373, 1067]]",[UUID('60134dad-63d9-366f-9255-711afff1ba1d')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]]",[<UAT_app.database.db_models.TableLogs object at 0x7f900d5316d0>],['14']
15,,[26],"[[83, 1041, 373, 1067]]",16,[27],"[[90, 236, 352, 263]]",[UUID('6ae9531a-3a7f-332a-9c16-fb8e51f9ca5a')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",[<UAT_app.database.db_models.TableLogs object at 0x7f9003554640>],['15']
16,,[27],"[[90, 236, 352, 263]]",17,[27],"[[89, 941, 240, 964]]","[UUID('cd1f4a4b-f1c8-3c45-83f8-35aa8b8ed5eb'), UUID('3c2bc35b-9bd5-3b06-95a7-21e34f26f597')]","[[0, 1, 2, 3], [0, 1, 2, 3, 4]]","[<UAT_app.database.db_models.TableLogs object at 0x7f9003554220>, <UAT_app.database.db_models.TableLogs object at 0x7f900c4ca130>]",['16']
17,,[27],"[[89, 941, 240, 964]]",18,[28],"[[81, 235, 306, 259]]",[UUID('0ac8b65c-acf3-31b5-ba10-b32ba5f92fa4')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]]",[<UAT_app.database.db_models.TableLogs object at 0x7f9003549d00>],"['17', '17']"
18,,[28],"[[81, 235, 306, 259]]",19,[28],"[[83, 590, 244, 617]]",[UUID('d5094a7d-890f-3ffe-8521-96de5ce06284')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",[<UAT_app.database.db_models.TableLogs object at 0x7f9003549760>],"['18', '18']"
19,,[28],"[[83, 590, 244, 617]]",20,[29],"[[90, 243, 287, 268]]","[UUID('8479af6b-4ba4-310a-9b10-77ba838ee382'), UUID('d5094a7d-890f-3ffe-8521-96de5ce06284')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8], [9, 10, 11, 12, 13]]","[<UAT_app.database.db_models.TableLogs object at 0x7f900c4ca700>, <UAT_app.database.db_models.TableLogs object at 0x7f9003549760>]",['19']
