note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
10,,[22],"[[172, 583, 525, 610]]",11,[22],"[[172, 866, 369, 892]]",[UUID('3e13d21c-b5e8-3021-8a14-194548864d1a')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef741a76ca0>],['10']
11,,[22],"[[172, 866, 369, 892]]",12,[22],"[[172, 1111, 365, 1138]]",[],[],[],['11']
12,,[22],"[[172, 1111, 365, 1138]]",13,[23],"[[173, 463, 386, 490]]",[],[],[],['12']
13,,[23],"[[173, 463, 386, 490]]",14,[23],"[[173, 721, 468, 746]]",[UUID('cb93b29b-4f4d-3f63-9bce-9703b072caa9')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef744d4b7f0>],['13']
14,,[23],"[[173, 721, 468, 746]]",15,[24],"[[172, 259, 578, 287]]",[UUID('6578674b-66ed-3898-99b2-6f785b06e4fd')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef744caa310>],['14']
15,,[24],"[[172, 259, 578, 287]]",16,[25],"[[170, 220, 424, 248]]",[UUID('372bed6a-3c65-31a9-a3cc-cd1a2ea0a56c')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]]",[<UAT_app.database.db_models.TableLogs object at 0x7efa280adbe0>],['15']
16,,[25],"[[170, 220, 424, 248]]",17,[26],"[[172, 220, 336, 246]]",[UUID('e9eb99f7-75c2-371a-ae7f-c58bbe9e4280')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7443e5c10>],['16']
8,d,"[21, 19, 17, 15, 14, 14]","[[183, 222, 578, 246], [179, 1335, 375, 1356], [174, 355, 987, 383], [172, 284, 830, 312], [174, 1282, 987, 1310], [172, 1429, 986, 1455]]",e,[14],"[[170, 143, 512, 162]]",[],[],[],['8d']
8,c,"[26, 26, 22, 20, 19, 18, 18, 17, 17, 17, 16, 14, 14]","[[181, 333, 253, 351], [182, 748, 254, 766], [182, 981, 258, 999], [183, 907, 429, 934], [179, 1170, 364, 1192], [238, 1174, 726, 1200], [236, 1241, 986, 1269], [174, 718, 986, 744], [238, 1221, 988, 1249], [240, 1276, 987, 1304], [237, 807, 985, 835], [174, 1190, 989, 1220], [174, 1364, 988, 1391]]",d,[14],"[[237, 493, 986, 519]]",[],[],[],['8c']
17,,[26],"[[172, 220, 336, 246]]",18,[26],"[[172, 588, 483, 616]]",[UUID('5bdd4afc-0cf5-3f36-8be3-6ad237cbfc9d')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef740c404f0>],['17']
21,,[29],"[[173, 1124, 384, 1151]]",22,[30],"[[170, 286, 440, 315]]",[UUID('e6965451-014e-39ca-8807-ef01fc874a7f')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef743956b20>],['21']
22,,[30],"[[170, 286, 440, 315]]",23,[30],"[[170, 606, 405, 631]]",[UUID('6e0480b4-c7ef-3ebe-87a5-eed8229d8bb7')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef744caa820>],"['22', '22']"
6,,[19],"[[169, 210, 301, 236]]",7,[19],"[[167, 596, 396, 623]]",[UUID('ddcb75ae-abc6-37f6-a0ae-862e22be2054')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef744caa5b0>],['6']
7,,[19],"[[167, 596, 396, 623]]",8,[19],"[[167, 1031, 354, 1057]]",[UUID('f53a222a-6fc3-3d5a-a439-b8b8f7d3db3e')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef744caa100>],['7']
