note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
7,,[25],"[[117, 963, 462, 991]]",8,[26],"[[117, 291, 297, 319]]","[UUID('17b3d44c-f63e-3d57-9c08-70ed46ca8669'), UUID('a580f245-8a18-325b-8c6b-96bf7eb91fe2')]","[[0, 1, 2, 3, 4], [1, 2, 3, 4, 5, 6, 7, 8]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdba84d4520>, <UAT_app.database.db_models.TableLogs object at 0x7fdba7941cd0>]",['7']
8,,[26],"[[117, 291, 297, 319]]",9,[26],"[[118, 480, 393, 503]]",[UUID('61c782c0-7f6b-3abe-93e5-1e1eab7ca7fe')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf4c6b1c0>],['8']
9,,[26],"[[118, 480, 393, 503]]",10,[26],"[[118, 715, 393, 741]]",[UUID('61c782c0-7f6b-3abe-93e5-1e1eab7ca7fe')],"[[3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf4c6b1c0>],['9']
12,,[27],"[[119, 1072, 616, 1098]]",13,[27],"[[119, 1282, 431, 1309]]",[UUID('2255718a-55c8-38f1-a242-d95246d25837')],"[[2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdf963f45e0>],['12']
10,,[26],"[[118, 715, 393, 741]]",11,[27],"[[113, 268, 352, 296]]","[UUID('02ddfb34-47cd-3878-b492-b33c373548f4'), UUID('37070992-79ea-365a-b364-0acaba9acb1a'), UUID('89cdbc49-64ec-3fb8-981c-2b375e05ee05')]","[[0, 1, 2, 3, 4, 5, 6], [0, 1, 2, 3, 4, 5, 6, 7, 8], [0, 1]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdaf6208fa0>, <UAT_app.database.db_models.TableLogs object at 0x7fdaf62088e0>, <UAT_app.database.db_models.TableLogs object at 0x7fdaf4c6b430>]",['10']
11,,[27],"[[113, 268, 352, 296]]",12,[27],"[[119, 1072, 616, 1098]]","[UUID('89cdbc49-64ec-3fb8-981c-2b375e05ee05'), UUID('2255718a-55c8-38f1-a242-d95246d25837')]","[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19], [0, 1, 2]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdaf4c6b430>, <UAT_app.database.db_models.TableLogs object at 0x7fdf963f45e0>]",['11']
4,,[23],"[[118, 572, 321, 593]]",5,[24],"[[1056, 1573, 1081, 1598]]","[UUID('ed1157fe-3922-3ceb-8e97-4420334de8ab'), UUID('72df6477-00cf-3c51-bb87-b1300d40a3fb'), UUID('2255c4c0-5556-3b5d-8190-879c0fe97b51'), UUID('a71b49c6-227e-38b5-9a48-61c510749196')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7, 8]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdba84d4dc0>, <UAT_app.database.db_models.TableLogs object at 0x7fdf963f4550>, <UAT_app.database.db_models.TableLogs object at 0x7fdba9a24dc0>, <UAT_app.database.db_models.TableLogs object at 0x7fdba9a24610>]","['4', '4']"
13,,[27],"[[119, 1282, 431, 1309]]",14,[28],"[[117, 445, 451, 468]]","[UUID('2255718a-55c8-38f1-a242-d95246d25837'), UUID('bd87a170-25cb-354d-b5f5-eac958cf8143')]","[[7, 8, 9, 10], [0, 1, 2]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdf963f45e0>, <UAT_app.database.db_models.TableLogs object at 0x7fdba82b9a00>]",['13']
16,,[28],"[[120, 1381, 322, 1407]]",17,[29],"[[103, 425, 319, 455]]","[UUID('03d67a4a-fb8f-3236-8715-d550ba486aed'), UUID('c6b15eb2-bd1a-3de4-bb32-4aec3989a838')]","[[0, 1, 2], [0, 1]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdf962f81c0>, <UAT_app.database.db_models.TableLogs object at 0x7fdc5003dc70>]","['16', '16']"
15,,[28],"[[117, 654, 287, 675]]",16,[28],"[[120, 1381, 322, 1407]]","[UUID('bd87a170-25cb-354d-b5f5-eac958cf8143'), UUID('033f40b5-47ae-331c-aaa0-53604552b54b')]","[[8, 9, 10, 11, 12, 13, 14, 15], [0, 1, 2, 3]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdba82b9a00>, <UAT_app.database.db_models.TableLogs object at 0x7fda6c19ec40>]","['15', '15']"
