note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
7,,[18],"[[165, 282, 1028, 307]]",8,[18],"[[165, 451, 458, 476]]",[UUID('11dc50f9-d957-315e-8dc9-640cf269953e')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf27e75e0>],"['7', '7']"
8,,[18],"[[165, 451, 458, 476]]",9,[18],"[[165, 621, 309, 644]]",[UUID('0be04da4-019c-3e4c-add6-7a1551757db7')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdc501760d0>],['8']
9,,[18],"[[165, 621, 309, 644]]",10,[18],"[[159, 838, 390, 859]]",[UUID('35588041-15a4-37f0-9bb2-e3ca13c8d2b8')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba8182cd0>],['9']
10,,[18],"[[159, 838, 390, 859]]",11,[19],"[[160, 281, 482, 307]]","[UUID('501756a6-90f7-328c-96d1-ec9c53be2456'), UUID('24038148-00d3-3591-8816-5d4f358c12c1')]","[[0, 1, 2], [0, 1]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdaf43c4700>, <UAT_app.database.db_models.TableLogs object at 0x7fdaf43c46a0>]",['10']
11,,[19],"[[160, 281, 482, 307]]",12,[19],"[[157, 977, 431, 1000]]",[UUID('24038148-00d3-3591-8816-5d4f358c12c1')],"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf43c46a0>],"['11', '11']"
6,(b),[17],"[[154, 1217, 379, 1244]]",(c),[18],"[[581, 1561, 603, 1581]]","[UUID('7c465446-0ebd-31d4-a752-f00c8f83b41d'), UUID('501756a6-90f7-328c-96d1-ec9c53be2456'), UUID('35588041-15a4-37f0-9bb2-e3ca13c8d2b8'), UUID('0be04da4-019c-3e4c-add6-7a1551757db7'), UUID('11dc50f9-d957-315e-8dc9-640cf269953e')]","[[31, 32, 33, 34, 35, 36, 30], [0, 1, 2], [0, 1, 2, 3, 4], [0, 1, 2, 3], [0, 1, 2, 3, 4, 5]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdaf43c4730>, <UAT_app.database.db_models.TableLogs object at 0x7fdaf43c4700>, <UAT_app.database.db_models.TableLogs object at 0x7fdba8182cd0>, <UAT_app.database.db_models.TableLogs object at 0x7fdc501760d0>, <UAT_app.database.db_models.TableLogs object at 0x7fdaf27e75e0>]",['6(b)']
6,,[17],"[[163, 810, 308, 831]]",7,[18],"[[165, 282, 1028, 307]]",[UUID('7c465446-0ebd-31d4-a752-f00c8f83b41d')],"[[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf43c4730>],['6']
13,,[19],"[[155, 1267, 369, 1290]]",14,[20],"[[165, 281, 1031, 304]]",[UUID('24038148-00d3-3591-8816-5d4f358c12c1')],"[[34, 35, 36, 37, 38, 39, 40, 41]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf43c46a0>],"['13', '13', '13']"
4,,[17],"[[166, 281, 1029, 302]]",5,[17],"[[165, 471, 478, 497]]",[UUID('7c465446-0ebd-31d4-a752-f00c8f83b41d')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf43c4730>],['4']
5,,[17],"[[165, 471, 478, 497]]",6,[17],"[[163, 810, 308, 831]]",[UUID('7c465446-0ebd-31d4-a752-f00c8f83b41d')],"[[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf43c4730>],['5']
