note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
6,,[18],"[[95, 1119, 405, 1142]]",7,[19],"[[93, 240, 261, 264]]",[UUID('ffaf355c-28de-30ba-a1e5-dd173918cf1c')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d4a11d070>],['6']
7,,[19],"[[93, 240, 261, 264]]",8,[19],"[[95, 666, 270, 689]]",[UUID('c0bdaa1a-d08c-3040-a473-6f0f1f6c5795')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1cd7f7ee20>],"['7', '7']"
8,,[19],"[[95, 666, 270, 689]]",9,[20],"[[95, 231, 555, 258]]",[UUID('ae154cdd-ecd5-330c-b5b0-ab6ab54dc388')],"[[0, 1]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d084ef760>],"['8', '8']"
10,,[21],"[[95, 231, 439, 258]]",11,[22],"[[95, 231, 317, 258]]",[UUID('472a9d7f-a9fe-3c83-87d6-bc318a1742a2')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d477731c0>],['10']
11,,[22],"[[95, 231, 317, 258]]",12,[23],"[[95, 495, 393, 519]]","[UUID('8a3e2e5f-d902-3bb4-a400-d0f73df70b29'), UUID('9faf111d-fde7-3cab-9fb0-e842dea5c361'), UUID('72e3f50b-43c3-3e22-9fe5-83307c3ea371'), UUID('475942fd-8967-3723-8247-3dd1ecca5f21'), UUID('4b6921ce-aacb-39a3-a0f5-dbcdb3788450'), UUID('6257769f-fe7b-3ac8-9b7a-4744799bb2ca')]","[[0, 1, 2, 3], [0, 1, 2, 3], [0, 1, 2], [0, 1, 2], [0, 1, 2, 3], [0, 1, 2, 3, 4, 5]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d084efc70>, <UAT_app.database.db_models.TableLogs object at 0x7f1d084ef400>, <UAT_app.database.db_models.TableLogs object at 0x7f1d084ef8b0>, <UAT_app.database.db_models.TableLogs object at 0x7f1d084ef2b0>, <UAT_app.database.db_models.TableLogs object at 0x7f1d084ef460>, <UAT_app.database.db_models.TableLogs object at 0x7f1d477730d0>]",['11']
5,,[17],"[[94, 682, 331, 707]]",6,[18],"[[95, 1119, 405, 1142]]","[UUID('42821d96-c37f-38fb-8464-6973ba0b4c5d'), UUID('950dfedd-69eb-33e4-85e4-c8cb55372c8a'), UUID('a78c4f59-23e2-366e-9293-a86121d71929')]","[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d47781d60>, <UAT_app.database.db_models.TableLogs object at 0x7f1d477815b0>, <UAT_app.database.db_models.TableLogs object at 0x7f1d4892bdc0>]","['5', '5', '5']"
12,,[23],"[[95, 495, 393, 519]]",13,[23],"[[94, 786, 307, 807]]",[UUID('6257769f-fe7b-3ac8-9b7a-4744799bb2ca')],"[[5, 6, 7, 8, 9, 10, 11, 12, 13, 14]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d477730d0>],['12']
13,,[23],"[[94, 786, 307, 807]]",14,[24],"[[94, 241, 378, 263]]","[UUID('4b568044-f7e7-3700-bee0-d5eb9839957e'), UUID('6257769f-fe7b-3ac8-9b7a-4744799bb2ca')]","[[0, 1, 2, 3, 4, 5, 6], [14, 15, 16, 17, 18, 19, 20, 21, 22, 23]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d453aad60>, <UAT_app.database.db_models.TableLogs object at 0x7f1d477730d0>]","['13', '13']"
14,,[24],"[[94, 241, 378, 263]]",15,[24],"[[94, 491, 265, 514]]",[UUID('6306052b-ce7d-3aaf-b519-ef69cb9bdced')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d45f5e2b0>],['14']
15,,[24],"[[94, 491, 265, 514]]",16,[24],"[[94, 1151, 294, 1175]]",[UUID('6306052b-ce7d-3aaf-b519-ef69cb9bdced')],"[[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d45f5e2b0>],['15']
16,,[24],"[[94, 1151, 294, 1175]]",17,[25],"[[94, 241, 231, 263]]",[UUID('d5005a8e-2009-3253-9a4e-cae832d4237e')],"[[0, 1, 2]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d47780760>],['16']
20,,[27],"[[95, 231, 625, 258]]",21,[27],"[[95, 929, 369, 953]]",[UUID('c23b0c00-8832-3308-88d5-89ca09205c80')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d46e6e910>],['20']
